tile_name,uavsar_path,num_pixels,surgery_correctness_max_diff,scale_x,dice_float,iou_float,precision_float,recall_float,pixel_accuracy_float,dice_fixedpoint,iou_fixedpoint,precision_fixedpoint,recall_fixedpoint,pixel_accuracy_fixedpoint,dice_diff,iou_diff,precision_diff,recall_diff,pixel_accuracy_diff,mean_abs_prob_diff,max_abs_prob_diff,p99_abs_prob_diff,pct_pixels_pred_changed
tile_25_23.tif,fp6_lee7_tiles/tile_25_23.tif,65536,0.0,0.017381613648782566,0.011065500642315448,0.005563531963288523,0.015338941166979765,0.00865438305391808,0.9154510498048165,0.011097189922836993,0.0055795536536072795,0.015461346682520631,0.00865438305391808,0.9156951904298162,3.1689280521544905e-05,1.6021690318756762e-05,0.00012240551554086598,0.0,0.00024414062499966693,0.0004341293533798307,0.01830419898033142,0.00545656681060791,0.030517578125
tile_25_24.tif,fp6_lee7_tiles/tile_25_24.tif,65536,0.0,0.03603513972965751,0.00509803921958785,0.002555533717308608,0.33333333367521367,0.002568662323641301,0.6128845214849657,0.004783563366511984,0.00239751602011399,0.306532663665059,0.002410590796275793,0.612701416016216,-0.00031447585307586585,-0.0001580176971946179,-0.02680067001015468,-0.0001580715273655081,-0.00018310546874977796,0.007794037461280823,0.03235284984111786,0.017973339185118675,0.0274658203125
tile_26_19.tif,fp6_lee7_tiles/tile_26_19.tif,65536,0.0,0.017051178639329326,0.4335141200779219,0.27674307547094695,0.5383186251956192,0.36286787728982883,0.953781127929758,0.4329004329111067,0.27624309394003743,0.5427088249389944,0.3600500939461475,0.9540252685547577,-0.0006136871668152022,-0.0004999815309095212,0.004390199743375178,-0.0028177833436813238,0.00024414062499966693,0.0005849961307831109,0.04196467995643616,0.010046448558568954,0.06103515625
tile_26_20.tif,fp6_lee7_tiles/tile_26_20.tif,65536,0.0,0.014801758480822946,0.5502528226116904,0.37955088390463876,0.5974729241937805,0.5099499293938895,0.9009246826173387,0.5502535250430627,0.37955155232484133,0.5994249394733743,0.5085376813517969,0.9011993408204633,7.02431372290313e-07,6.68420202576403e-07,0.0019520152795937662,-0.001412248042092612,0.0002746582031245559,0.000941957114264369,0.05872794985771179,0.010626752860844135,0.0762939453125
tile_26_21.tif,fp6_lee7_tiles/tile_26_21.tif,65536,0.0,0.01681261738454263,0.6902151847372084,0.5269683819044177,0.824242424246685,0.5936790640895114,0.953430175781321,0.6903553299523821,0.5271317829530677,0.8246422507925141,0.5936790640895114,0.953460693359446,0.0001401452151736926,0.0001634010486499804,0.00039982654582904065,0.0,3.0517578125e-05,0.0004207863239571452,0.03024539351463318,0.006421451922506094,0.0091552734375
tile_26_22.tif,fp6_lee7_tiles/tile_26_22.tif,65536,0.0,0.017544297721442274,0.5292253905874661,0.3598276630610633,0.8646911817256447,0.38129722922888387,0.9342498779297879,0.5261889108094873,0.3570260223143937,0.8655371305023238,0.37799118388888553,0.9340209960938507,-0.003036479777978829,-0.002801640746669609,0.0008459487766790952,-0.0033060453399983425,-0.00022888183593716693,0.00040257099317386746,0.01945364475250244,0.006221607327461243,0.04119873046875
tile_26_23.tif,fp6_lee7_tiles/tile_26_23.tif,65536,0.0,0.019607147832555096,4.147656573863639e-11,4.147656573863639e-11,1.0,4.147656573863639e-11,0.9632110595703687,4.147656573863639e-11,4.147656573863639e-11,1.0,4.147656573863639e-11,0.9632110595703687,0.0,0.0,0.0,0.0,0.0,0.00026413711020722985,0.028674811124801636,0.0038043104577809572,0.0
tile_26_24.tif,fp6_lee7_tiles/tile_26_24.tif,65536,0.0,0.018105625167606384,0.5520245066381478,0.3812388463548983,0.7294305540272639,0.4440309765682925,0.671981811523938,0.55161915883072,0.38085228908902724,0.7296447484569194,0.4434275369625417,0.6718902587895632,-0.00040534780742784715,-0.000386557265871057,0.00021419442965553426,-0.0006034396057507663,-9.155273437477796e-05,0.0011756997555494308,0.030553460121154785,0.010300044901669025,0.067138671875
tile_26_25.tif,fp6_lee7_tiles/tile_26_25.tif,65536,0.0,0.02962131387605442,0.034360258578317045,0.017480445606134508,0.9190031152774139,0.01750741840054152,0.4939880371101471,0.03304484658031575,0.016800000002913183,0.9189627228656463,0.01682492581894117,0.4936676025398351,-0.0013154119980012952,-0.0006804456032213253,-4.0392411767564695e-05,-0.000682492581600351,-0.0003204345703120004,0.0005020590033382177,0.01612764596939087,0.005084709729999304,0.03814697265625
tile_27_18.tif,fp6_lee7_tiles/tile_27_18.tif,65536,0.0,0.015092669509527252,0.0340136054518406,0.017301038072284742,0.9883720930300163,0.017304560270589325,0.8526611328127248,0.032836119741387164,0.016692111969295754,0.9939393939430671,0.01669381108492779,0.8525848388674124,-0.001177485710453438,-0.0006089261029889881,0.005567300913050799,-0.0006107491856615355,-7.629394531238898e-05,0.002044364809989929,0.04673758149147034,0.010172538459300995,0.01068115234375
