output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,19750,553000,564650,564650,0.53849220
1,0,1,23878,668584,680234,680234,0.64872169
2,0,2,15785,441980,453630,453630,0.43261528
3,0,3,-20462,-572936,-561286,0,0.00000000
4,1,0,30082,842296,853946,853946,0.81438637
5,1,1,34499,965972,977622,977622,0.93233299
6,1,2,31675,886900,898550,898550,0.85692406
7,1,3,8260,231280,242930,242930,0.23167610
8,2,0,-8547,-239316,-227666,0,0.00000000
9,2,1,26516,742448,754098,754098,0.71916389
10,2,2,19560,547680,559330,559330,0.53341866
11,2,3,26612,745136,756786,756786,0.72172737
12,3,0,-38235,-1070580,-1058930,0,0.00000000
13,3,1,-612,-17136,-5486,0,0.00000000
14,3,2,43325,1213100,1224750,1224750,1.16801262
15,3,3,24386,682808,694458,694458,0.66228676
