output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-21764,-848796,-863765,0,0.00000000
1,0,1,-46843,-1826877,-1841846,0,0.00000000
2,0,2,-5190,-202410,-217379,0,0.00000000
3,0,3,44500,1735500,1720531,1720531,1.64082623
4,1,0,2648,103272,88303,88303,0.08421230
5,1,1,-25519,-995241,-1010210,0,0.00000000
6,1,2,-20837,-812643,-827612,0,0.00000000
7,1,3,-22575,-880425,-895394,0,0.00000000
8,2,0,17171,669669,654700,654700,0.62437057
9,2,1,-17219,-671541,-686510,0,0.00000000
10,2,2,-30207,-1178073,-1193042,0,0.00000000
11,2,3,-12660,-493740,-508709,0,0.00000000
12,3,0,64529,2516631,2501662,2501662,2.38577080
13,3,1,-7418,-289302,-304271,0,0.00000000
14,3,2,-11959,-466401,-481370,0,0.00000000
15,3,3,-8719,-340041,-355010,0,0.00000000
