output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,29310,1553430,1549951,1549951,1.47814846
1,0,1,12081,640293,636814,636814,0.60731316
2,0,2,-10024,-531272,-534751,0,0.00000000
3,0,3,16155,856215,852736,852736,0.81323242
4,1,0,8472,449016,445537,445537,0.42489719
5,1,1,27546,1459938,1456459,1456459,1.38898754
6,1,2,9228,489084,485605,485605,0.46310902
7,1,3,-31197,-1653441,-1656920,0,0.00000000
8,2,0,18743,993379,989900,989900,0.94404221
9,2,1,13439,712267,708788,708788,0.67595291
10,2,2,19400,1028200,1024721,1024721,0.97725010
11,2,3,16088,852664,849185,849185,0.80984592
12,3,0,-1579,-83687,-87166,0,0.00000000
13,3,1,33150,1756950,1753471,1753471,1.67224026
14,3,2,20874,1106322,1102843,1102843,1.05175304
15,3,3,15653,829609,826130,826130,0.78785896
