output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,21240,1380600,1364384,1364384,1.30117798
1,0,1,-130,-8450,-24666,0,0.00000000
2,0,2,15324,996060,979844,979844,0.93445206
3,0,3,-8093,-526045,-542261,0,0.00000000
4,1,0,22493,1462045,1445829,1445829,1.37884998
5,1,1,2749,178685,162469,162469,0.15494251
6,1,2,-883,-57395,-73611,0,0.00000000
7,1,3,33561,2181465,2165249,2165249,2.06494236
8,2,0,6271,407615,391399,391399,0.37326717
9,2,1,23371,1519115,1502899,1502899,1.43327618
10,2,2,-3055,-198575,-214791,0,0.00000000
11,2,3,-8243,-535795,-552011,0,0.00000000
12,3,0,-2359,-153335,-169551,0,0.00000000
13,3,1,8306,539890,523674,523674,0.49941444
14,3,2,-7254,-471510,-487726,0,0.00000000
15,3,3,-7045,-457925,-474141,0,0.00000000
