output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,26331,2870079,2857507,2857507,2.72513103
1,0,1,5003,545327,532755,532755,0.50807476
2,0,2,-8677,-945793,-958365,0,0.00000000
3,0,3,-9908,-1079972,-1092544,0,0.00000000
4,1,0,23920,2607280,2594708,2594708,2.47450638
5,1,1,-909,-99081,-111653,0,0.00000000
6,1,2,2885,314465,301893,301893,0.28790760
7,1,3,-17063,-1859867,-1872439,0,0.00000000
8,2,0,19446,2119614,2107042,2107042,2.00943184
9,2,1,42635,4647215,4634643,4634643,4.41993999
10,2,2,10019,1092071,1079499,1079499,1.02949047
11,2,3,6691,729319,716747,716747,0.68354321
12,3,0,23809,2595181,2582609,2582609,2.46296787
13,3,1,16975,1850275,1837703,1837703,1.75257015
14,3,2,9149,997241,984669,984669,0.93905354
15,3,3,8564,933476,920904,920904,0.87824249
