heldout_fp,alea_threshold,alea_val_dice,alea_test_dice,alea_test_iou,alea_test_precision,alea_test_recall,orig_threshold,orig_test_dice,orig_test_iou,orig_test_precision,orig_test_recall,dice_delta,verdict
fp1,0.5,0.708411,0.515203,0.346985,0.422067,0.661081,0.25,0.5205,0.3518,0.4597,0.5998,-0.005297,worse
fp2,0.75,0.704531,0.782423,0.642607,0.784933,0.779929,0.35,0.7445,0.593,0.7447,0.7444,0.037923,better
fp3,0.6,0.728055,0.628279,0.458022,0.819702,0.509335,0.35,0.6264,0.456,0.7483,0.5387,0.001879,better
fp4,0.55,0.721502,0.544466,0.374066,0.583409,0.510397,0.5,0.4657,0.3035,0.5288,0.416,0.078766,better
fp5,0.45,0.676318,0.618186,0.447373,0.473684,0.889554,0.25,0.6725,0.5066,0.6109,0.748,-0.054314,worse
fp6,0.65,0.744087,0.641905,0.47265,0.783028,0.543882,0.3,0.6008,0.4294,0.694,0.5297,0.041105,better
fp7,0.5,0.716858,0.517198,0.348798,0.590092,0.460333,0.3,0.557,0.386,0.6799,0.4718,-0.039802,worse
mean (n=7),,,0.606809,0.4415,0.636702,0.622073,,0.5982,,,,0.008609,better
