heldout_fp,threshold,pixels,tp,fp,fn,tn,true_flood_pixels,pred_flood_pixels,dice,iou,precision,recall,false_positive_rate,false_negative_rate
fp1,0.25,8978432,752037,883759,501792,6840844,1253829,1635796,0.520508,0.351816,0.459738,0.599792,0.114408,0.400208
fp2,0.35,9043968,1885359,646487,647483,5864639,2532842,2531846,0.744511,0.593005,0.744658,0.744365,0.09929,0.255635
fp3,0.35,10747904,1661746,558974,1423170,7104014,3084916,2220720,0.626408,0.456036,0.748292,0.538668,0.072945,0.461332
fp4,0.5,11862016,848188,755876,1190720,9067232,2038908,1604064,0.465657,0.30349,0.528774,0.416001,0.076949,0.583999
fp5,0.25,10485760,1801680,1147427,607057,6929596,2408737,2949107,0.672539,0.506636,0.610924,0.747977,0.142061,0.252023
fp6,0.3,11141120,1573737,694028,1397498,7475857,2971235,2267765,0.600778,0.429365,0.693959,0.529658,0.08495,0.470342
fp7,0.3,7667712,769313,362114,861364,5674921,1630677,1131427,0.557049,0.386048,0.679949,0.471775,0.059982,0.528225
