land_cover_code,land_cover_name,pixels,tp,fp,fn,tn,true_flood_pixels,pred_flood_pixels,dice,iou,precision,recall,false_positive_rate,false_negative_rate
1,Water,2986457,0,427387,0,2559070,0,427387,0.0,0.0,0.0,,0.143108,
2,Trees,40190464,8139500,3058778,4793908,24198278,12933408,11198278,0.67459,0.508967,0.726853,0.629339,0.11222,0.370661
4,Flooded Vegetation,377433,0,137927,0,239506,0,137927,0.0,0.0,0.0,,0.365434,
5,Crops,14925847,404048,693215,755269,13073315,1159317,1097263,0.358107,0.218106,0.368233,0.348522,0.050355,0.651478
7,Built Area,7207033,268039,419958,503966,6015070,772005,687997,0.367176,0.224872,0.389593,0.347199,0.065261,0.652801
8,Bare Ground,52890,2338,1084,23347,26121,25685,3422,0.160649,0.08734,0.683226,0.091026,0.039846,0.908974
11,Rangeland,4186788,478135,310316,552594,2845743,1030729,788451,0.52566,0.356539,0.606423,0.46388,0.098324,0.53612
