epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.4666363447001486,0.4466420188997731,0.30081291284525036,0.4476629179425356,0.49918985030636553,0.3535446371974015,,,
2,0.44140820665792985,0.4488882338007291,0.30433384879972,0.4590422522004058,0.34527965152931467,0.21995510264986945,,,
3,0.4278404322537509,0.46655080420331974,0.3190503324904112,0.4664314287464793,0.4571855398485573,0.3117599161114635,,,
4,0.43053777163678947,0.46092195237394085,0.31617510601398396,0.44619667530059814,0.5843950171114468,0.43865717331901555,,,
5,0.4198146577134277,0.49160498583858664,0.3413431980280262,0.4182809522239173,0.5143467853436383,0.3712149215890549,,,
6,0.420363866741007,0.4814964584554687,0.3332430971729936,0.4210648987351394,0.5342572090193266,0.3912824419349795,,,
7,0.4087774471803145,0.5007065925408494,0.35066111165691505,0.41580194053126546,0.5121722096668148,0.37110073177041714,,,
8,0.4142899611682603,0.47630598134163654,0.33042121387340806,0.4171655156263491,0.5157098227362262,0.3701173588747113,,,
9,0.4174468098264752,0.4786555682619413,0.33184403878721325,0.4152620820010581,0.5069800642228163,0.365891383371668,,,
10,0.41197610840652926,0.4732404647790121,0.329239212360346,0.44801612670828656,0.5730704224055133,0.4272072797005133,,,
11,0.40699058509234226,0.4903547629488237,0.3434896217376897,0.4075482051546981,0.4813319874903267,0.34601851261864,,,
12,0.4043237389940204,0.4851810776600332,0.33802941671826625,0.40081385432220085,0.5239219055397482,0.37883559976159253,,,
13,0.40273343270475215,0.4972942168965484,0.3479723484678702,0.4002519438906414,0.5352517618434276,0.39825229828881964,,,
14,0.40584027658809313,0.4865288738161325,0.33860224880503886,0.41522216033644793,0.4636404669687044,0.32779789625168954,,,
15,0.3938377496871081,0.516854854447372,0.365820796403921,0.4057705602267893,0.46212774606037327,0.3310526660021312,,,
16,0.3908567207329201,0.5267578439279036,0.37448541825693665,0.4410679940043426,0.5831846908052883,0.4395946372845551,,,
17,0.39255037045840063,0.5045752090825276,0.35738285278732124,0.39239072181829593,0.5193759333799076,0.37859239638239756,,,
18,0.39004575835935995,0.5185232894212911,0.37079940721618404,0.4139527275068004,0.4485496554253585,0.3155640436270713,,,
19,0.39144781782771604,0.517959019609473,0.37077165643938564,0.40657190687772704,0.4890893518288688,0.3511794021512132,,,
20,0.38352061266248877,0.5399441691171942,0.3888634815981442,0.3974288861926009,0.5105475521671616,0.37532147101900826,,,
test,,,,,,,0.44268696308135985,0.5702792689204216,0.4309268697164953
