epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.6590110266462286,0.4891447688036777,0.3296589233139728,0.5851744494654916,0.5537568005648527,0.3979555368423462
2,0.606997807609274,0.5689300935953221,0.40757093515167847,0.5600263178348541,0.597189721736041,0.44289546324448154
3,0.5876347409917954,0.5753460513784531,0.4124698302847274,0.5460128865458749,0.6218799162994731,0.46615352955731476
4,0.573787771006848,0.5928274215535915,0.4279383585808125,0.5602122247219086,0.6043269525874745,0.44599526443264703
5,0.5572342016595475,0.605642096793398,0.4394144726560471,0.545833173123273,0.5842564390464262,0.4292421042919159
6,0.5470157417845218,0.6105285045948434,0.44720677048602003,0.5285981107841838,0.5973681970076128,0.44668705287304794
7,0.5417221099772351,0.6149205983953273,0.45321361371811403,0.5963948504491285,0.49437415261160245,0.3462179313329133
8,0.5324706238635043,0.6256261607433887,0.46084709116753114,0.5451676330783151,0.5935404842550104,0.43692144616083667
9,0.5248878211417096,0.6334447201262129,0.46911273738171194,0.525203138589859,0.5975400466810573,0.44848167354410345
10,0.5178774684033496,0.6419041182132478,0.4787815359044582,0.5096982365304773,0.6196760535240173,0.46732521192594006
11,0.5056275199068353,0.6554200503420322,0.49333504539854983,0.5294693654233759,0.6115121976895765,0.45391300185160205
12,0.4949778045745606,0.6619468565951002,0.5018391710646609,0.4969653134996241,0.6386708210815083,0.48682901263237
13,0.4907117834750642,0.6654720046418778,0.5054002962213882,0.5060631578618829,0.6240742721340873,0.47190809656273236
14,0.4877987523028191,0.6639064455285986,0.5043852269015414,0.4882033142176541,0.6382985629818656,0.484137468717315
15,0.47519011383361004,0.6740139310664319,0.5150062219893679,0.5283445255322889,0.6181837482885881,0.46187936988743866
16,0.4855028454293596,0.6582108894561199,0.49863563731629795,0.48948375203392724,0.6374412639574571,0.48516732996160333
17,0.46102918525959585,0.6867510980748116,0.52927110740479,0.4703994962302121,0.6536816846240651,0.5029462711377577
18,0.46307784382333145,0.6846917132113842,0.5278495267984715,0.5130649100650441,0.6118228462609377,0.45531947910785675
19,0.46369911191311286,0.6800804265001987,0.5214306319013555,0.4792984696951779,0.6598544608462941,0.5082411860877817
20,0.43166795880236525,0.7122361222480206,0.5590137490566741,0.5601514252749357,0.5673053941943429,0.4083716598424045
