epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.48485223099749575,0.4891697783223403,0.3393118803699811,0.41904801922909757,0.5038784535458074,0.35861015560023707,,,
2,0.4485902342424598,0.47990892378811134,0.3327340853080699,0.4119971962051189,0.5395360632967996,0.3920617974734806,,,
3,0.44461255055922333,0.49020331515179527,0.3426960648027479,0.3992837131657499,0.5403781090324319,0.39812691406962375,,,
4,0.4290852024350115,0.5006816105576612,0.3519225345463842,0.3813049812266167,0.5026565583929311,0.36495145291051,,,
5,0.4222827164396163,0.5240731380719651,0.37432940224165556,0.4112375340563186,0.4386206973904596,0.31265096261440795,,,
6,0.420877024691592,0.5014117675212523,0.35326390843137456,0.38891882433536207,0.4940125560390767,0.35634005539385005,,,
7,0.42686015367507935,0.5031776538979943,0.3542730145817322,0.3841313421726227,0.4905572960121022,0.3572312307542814,,,
8,0.4154496274648174,0.5128288527009308,0.3634096207923346,0.3931139679031169,0.4310892194815996,0.2989845921728171,,,
9,0.40726078469907084,0.526061119671951,0.3768703115563239,0.3667414778090538,0.5643500386405379,0.42424952455900333,,,
10,0.41179635447840535,0.5291035988628464,0.3798289826610476,0.3781060814223391,0.49604057647322525,0.365835812838223,,,
11,0.41243545230357875,0.5179072849762937,0.3727425317760677,0.40252560630757755,0.43525773586403144,0.30648133958853346,,,
12,0.41205486238643685,0.5289587464774408,0.3813955366726644,0.37279217389035735,0.5358342943853015,0.39354614797822307,,,
13,0.40087559987460414,0.5390986396370315,0.3911874716755964,0.38351623555447195,0.4731794825873952,0.3365616223222497,,,
14,0.40114827910738604,0.535227015471807,0.3893050348839312,0.3810831758570164,0.46920693476222325,0.3371929575201295,,,
15,0.3960253187725621,0.5390215764443079,0.3938962937813372,0.3642662570197531,0.5631815715806876,0.4264071449362475,,,
16,0.39704533506144757,0.5454498292397587,0.39859584096308437,0.36259532228429264,0.5629761715697006,0.4256815155757532,,,
17,0.3977977204867589,0.5295811572352485,0.38642616221250625,0.39358101626659964,0.5439887975393348,0.39747324968103637,,,
18,0.4015647213785879,0.5187766843335202,0.3772720685660569,0.37223618461730634,0.5514545759540348,0.41033305768282746,,,
19,0.39406615143181173,0.5339590607303938,0.3915261488167822,0.3861933731018229,0.46222026738278726,0.3327564105535164,,,
20,0.38951537838225725,0.54868906876573,0.403335301576042,0.3486701399087906,0.5772124936266705,0.4428517618169534,,,
test,,,,,,,0.3781598938362939,0.4205694625486753,0.30033632943439964
