epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.47685506516381315,0.44513931767616766,0.30145400403135253,0.4280703713496526,0.4284925005291977,0.3000370435972097,,,
2,0.4295557627552434,0.478283116495923,0.3300995097838734,0.3972511713703473,0.5328774768713629,0.3938450912392,,,
3,0.42186484932899476,0.47812494864981425,0.330191879278343,0.4282202686493595,0.530845646901677,0.39616728488666314,,,
4,0.4124007240722054,0.4949516566764367,0.3456668399666485,0.3845525188371539,0.5824377194512635,0.445138230221346,,,
5,0.4159341665474992,0.49097939314026584,0.3478512400173043,0.4164882944896817,0.415390989529745,0.2843702795289573,,,
6,0.4064182963810469,0.4965569149898855,0.35057622823668155,0.384471722257634,0.5288862909850044,0.393736948511408,,,
7,0.40421146342628883,0.5127259319354045,0.36622935957030245,0.3799722033242385,0.5690596467272068,0.42899174672008183,,,
8,0.3925352586727393,0.5327974659047628,0.38330567392863724,0.37644852853069705,0.5418963741394691,0.4075297782110283,,,
9,0.39844390765616766,0.5191956819280198,0.37106338404119016,0.38009578982988995,0.49622796377419337,0.36870039116305026,,,
10,0.39923416768249714,0.5039574737807638,0.35917333480166763,0.3726537538071473,0.5620125106846293,0.42557033950773376,,,
11,0.4039714243066938,0.5082775172434355,0.36371664301933426,0.4056666378552715,0.42851855858088306,0.3011281875274035,,,
12,0.3949904873182899,0.5091191765117018,0.3636451870203018,0.3661722143491109,0.5725286965898704,0.4374741889235641,,,
13,0.38889561522948113,0.5284081131612,0.38057372109278254,0.36670429197450477,0.5759790904121473,0.43955674569588155,,,
14,0.3912785663416511,0.5276350359800026,0.38387589778653103,0.41379783147325117,0.3963124989531934,0.27031107982232544,,,
15,0.3869665823484722,0.5257586885488739,0.38068653914685313,0.38615337138374645,0.488406728169745,0.3557834753264615,,,
16,0.3851585038398441,0.5380636976688709,0.3921370024033087,0.373549514139692,0.5740178989556929,0.4365466328648229,,,
17,0.3849943109248814,0.5324946174422573,0.38733136544102115,0.3783161547034979,0.5404540855282297,0.40320814431955415,,,
18,0.38473302345526844,0.527086080532325,0.3858905365396487,0.3683181641002496,0.6053859399010738,0.4678756163921207,,,
19,0.3830610775633862,0.5450242252677286,0.40003754429911315,0.36993560908983153,0.5623550493813431,0.42871992599611985,,,
20,0.3748451814055443,0.5429348579117734,0.39739469199588423,0.3786887352665265,0.543635472189635,0.4093689247383736,,,
test,,,,,,,0.41580748111009597,0.3787293480709195,0.2711997348194321
