epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.48596668755349937,0.38476649447818473,0.2471546455760675,0.4025864499371226,0.42443200134922093,0.2873697546140359
2,0.4485303432297853,0.3303671269320477,0.2107975309760384,0.40908874644011983,0.38291280616710827,0.2517868851924815
3,0.4351543749402637,0.39616368653858364,0.2582774520537422,0.4081715974139004,0.22583657634122442,0.13845169576900204
4,0.42648796142975975,0.41347258645424084,0.2744285521851681,0.43962886929512024,0.4866986536398167,0.3423220460734716
5,0.4283382612869052,0.4030018897635714,0.26487488119628716,0.39646638602745243,0.411271853417885,0.2754420132898703
6,0.42376846148192515,0.40510072769380057,0.26727195254361336,0.3904339816512131,0.3168972178076417,0.20835014643041458
7,0.4176543128271044,0.41467347018923495,0.2757549996036419,0.383830841721558,0.4584043790109274,0.32006044958422825
8,0.4160713638447545,0.4281986299330837,0.2851866379357372,0.3743531304161723,0.36499343512066207,0.24815528164910516
9,0.41416597183496673,0.42342162937314415,0.28624471483546443,0.38955090540211373,0.43631180321297997,0.29645567641752524
10,0.4077604796074651,0.4377539750257153,0.2962280613473085,0.38908776277449075,0.38707343864876803,0.26146472370397145
11,0.41658254260300126,0.41727370534526426,0.2756665085836605,0.3611651222880294,0.4801846235002414,0.33954462569303495
12,0.4004083761225449,0.45558006493546116,0.3116510277671134,0.35589496246198327,0.44430947558182043,0.3092914847429933
13,0.3991143057134254,0.46418360209355325,0.31554361919592494,0.3936133704534391,0.2901165585906606,0.18927868152924957
14,0.40094688443318466,0.4471766202299187,0.30395779987237204,0.3463177146708093,0.4941921270475155,0.3543388248398537
15,0.4019482591035176,0.445443068636707,0.3029034486714682,0.3486366395543261,0.4816737834636758,0.3404389958737827
16,0.39410196244716644,0.47179163214493475,0.326215637623521,0.34753734854663293,0.5378184022336472,0.3967375748949807
17,0.396502013312527,0.4577291435990597,0.31386249554714907,0.38315425667820907,0.38676345209804386,0.26781249852723604
18,0.3981245953612532,0.46560946341169757,0.31924747240849616,0.35785189525383276,0.5029750079279993,0.3583721158708014
19,0.3903115395387989,0.48204874936948344,0.33683723991771053,0.3569837950351762,0.5465111467169552,0.4018954954496244
20,0.3894349617277918,0.47467690377147653,0.3271928495424657,0.37051991827604247,0.3699908193837737,0.24978427098300526
