epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.6898564916589985,0.45396483754334244,0.3000858037368111,0.5909261579314867,0.5568839559952418,0.38798458129167557
2,0.6266039810750795,0.5418942292099413,0.37732018530368805,0.5411298846205076,0.6280607034762701,0.46004392206668854
3,0.615526742261389,0.5491207569189693,0.38766915318758594,0.5180832346280416,0.6506955325603485,0.4848383739590645
4,0.5982039622638536,0.5698628930941873,0.4053949422162512,0.5366475010911623,0.6084119379520416,0.4389815653363864
5,0.5909245331650195,0.5684461713485096,0.4021933179186738,0.504298617442449,0.6597009797890981,0.49566484491030377
6,0.5778185407752576,0.5774269829625669,0.4126840509150339,0.5269632389148077,0.621062715848287,0.4522891541322072
7,0.5697547255650811,0.5918348671301551,0.4274771579581758,0.5000900601347288,0.6499374608198801,0.48406753192345303
8,0.5640155906262605,0.5935409529053647,0.43071433707423834,0.5226311335961024,0.6251006970802943,0.4566686997811
9,0.5622700478719629,0.5931512337663899,0.43103718984386197,0.5077652335166931,0.6443799088398615,0.47752377142508823
10,0.5379550249680228,0.620288042270619,0.4553612713580546,0.49237988392512005,0.6665207892656326,0.5012998009721438
11,0.5274559084487997,0.6270032356614652,0.4640611539716306,0.5091698790589968,0.6498577545086542,0.4831170365214348
12,0.5192630478869313,0.6396484776683475,0.4754019664681476,0.4640037566423416,0.6865600744883219,0.5267223914464315
13,0.5071185166421144,0.6483812111875286,0.4884935504068499,0.45744531104962033,0.6951214522123337,0.5356618190805117
14,0.5035232778476633,0.6526610857766607,0.49063520846159564,0.4609995981057485,0.6888636946678162,0.5286246736844381
15,0.4921417508436286,0.6666545699472013,0.5049282914918402,0.45399704078833264,0.6890085836251577,0.5287625640630722
16,0.48034055077511334,0.6705319991578227,0.5102180300847344,0.47232730438311893,0.6662936707337698,0.5023197755217552
17,0.48127213833124743,0.6795720730138861,0.5214908634838851,0.4681048666437467,0.676310862104098,0.5131415203213692
18,0.47783899372038635,0.6747759399206742,0.5168333882870881,0.4381626024842262,0.6939127345879873,0.5343487188220024
19,0.4762749691372332,0.665402387795241,0.5065503755341405,0.4399205148220062,0.6943339308102926,0.5343691110610962
20,0.4554723118958266,0.6894848677127258,0.5330078828593959,0.4476744085550308,0.6743364185094833,0.5116844574610392
