epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.48515097284188835,0.47815749096253546,0.32996103544068595,0.41735374990929947,0.5588751720472616,0.4140912766424082,,,
2,0.4473988559617791,0.4730431921179256,0.3242144517860906,0.43918144385865393,0.4090278778138587,0.2852915292013869,,,
3,0.4407119199793826,0.490034457476389,0.33728224829199815,0.40868569181320513,0.5545982642698676,0.40801451967637786,,,
test,,,,,,,0.47835011056491306,0.39532521324498315,0.26504737915737286
