output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,25659,1128996,1142268,1142268,1.08935165
1,0,1,16837,740828,754100,754100,0.71916580
2,0,2,-343,-15092,-1820,0,0.00000000
3,0,3,-22597,-994268,-980996,0,0.00000000
4,1,0,12195,536580,549852,549852,0.52437973
5,1,1,20274,892056,905328,905328,0.86338806
6,1,2,16625,731500,744772,744772,0.71026993
7,1,3,7516,330704,343976,343976,0.32804108
8,2,0,5161,227084,240356,240356,0.22922134
9,2,1,28677,1261788,1275060,1275060,1.21599197
10,2,2,14528,639232,652504,652504,0.62227631
11,2,3,11946,525624,538896,538896,0.51393127
12,3,0,-23833,-1048652,-1035380,0,0.00000000
13,3,1,-4569,-201036,-187764,0,0.00000000
14,3,2,2377,104588,117860,117860,0.11240005
15,3,3,15351,675444,688716,688716,0.65681076
