output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-16235,-1428680,-1441475,0,0.00000000
1,0,1,3754,330352,317557,317557,0.30284595
2,0,2,6564,577632,564837,564837,0.53867054
3,0,3,26168,2302784,2289989,2289989,2.18390369
4,1,0,-3453,-303864,-316659,0,0.00000000
5,1,1,-1937,-170456,-183251,0,0.00000000
6,1,2,-273,-24024,-36819,0,0.00000000
7,1,3,7034,618992,606197,606197,0.57811451
8,2,0,-14741,-1297208,-1310003,0,0.00000000
9,2,1,-13919,-1224872,-1237667,0,0.00000000
10,2,2,-9659,-849992,-862787,0,0.00000000
11,2,3,6338,557744,544949,544949,0.51970387
12,3,0,1239,109032,96237,96237,0.09177876
13,3,1,-10873,-956824,-969619,0,0.00000000
14,3,2,-181,-15928,-28723,0,0.00000000
15,3,3,8119,714472,701677,701677,0.66917133
