epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.49392124529807796,0.48814839877749,0.3324363427136534,0.46343710205771704,0.5153756239874796,0.3686407750303095,,,
2,0.42741213338349454,0.5142904082613606,0.3552604024448702,0.411652535200119,0.4476443109187213,0.3084100116128949,,,
3,0.4107625013397586,0.5371516076948053,0.3767238813702778,0.4046597216616977,0.5753344625911929,0.4287703743373806,,,
4,0.4038901909064221,0.537579101740673,0.376781840237879,0.41378460418094287,0.5733937505971302,0.4290234675122933,,,
5,0.41200614007570413,0.5230982439011655,0.36451224309782826,0.4160232069817456,0.5834718177264387,0.437126908112656,,,
6,0.4035471805962183,0.5295480065127854,0.3684304163100258,0.38887695290825586,0.5308126326100054,0.38763590110730467,,,
7,0.395915565952178,0.5480108041596669,0.3865446174337018,0.39452989263968036,0.4909060529058687,0.3585629524055756,,,
8,0.40320965263151354,0.5238722123766458,0.3653998852417033,0.38538247075947846,0.5442717211871323,0.4039566182870079,,,
9,0.39778366909232193,0.5454294687958174,0.38299270070368246,0.377651916986162,0.5451330369852869,0.40605979853120516,,,
10,0.3978220618540241,0.5434657389758736,0.38223913520254116,0.38726606287739496,0.5551648133180358,0.4148480767722834,,,
11,0.39027525821039755,0.5544737731256792,0.3951756904522578,0.3916540200060064,0.4719298865483284,0.3346551288433769,,,
12,0.3965146365345165,0.5685644521508165,0.4045348455829005,0.38633678447116504,0.5427980914041118,0.4066168729391684,,,
13,0.3932281783832017,0.5516821021033872,0.39128830660414954,0.37649729306047613,0.5813812330703844,0.43770914076065476,,,
14,0.39710603510179826,0.5496947504179452,0.3919809140986012,0.3887923712080175,0.5418483310971748,0.40182722254063596,,,
15,0.3900384111430055,0.5608173288324828,0.39863883788066523,0.3982711217620156,0.4527299160631092,0.32218773567330833,,,
16,0.3936373649104949,0.5506815553031942,0.39292308399754183,0.4152896878394214,0.5847687189551917,0.44018340805037454,,,
17,0.39173981355082604,0.5539974802604286,0.39585048865566974,0.37498409910635516,0.5887049474245445,0.44687798782251775,,,
18,0.37691387438005014,0.5792564826626931,0.4195206367200421,0.3756404153325341,0.527247486298029,0.39045586911179697,,,
19,0.3806521804422461,0.5738640151998048,0.41354049726199077,0.38744251091371884,0.6001715768467296,0.45654177970506926,,,
20,0.3804678330498357,0.5650693218233764,0.405204209268734,0.37046837264841254,0.5965480229563334,0.4553573570976203,,,
test,,,,,,,0.34898761585354804,0.5917981177568435,0.43972170632332563
