epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.4829677482868763,0.4959107445592576,0.3414232491892069,0.49574564695358275,0.5546953096985817,0.3934356227517128,,,
2,0.4133219601626092,0.5183022252105652,0.35948241803240266,0.4425277650356293,0.4829062677919865,0.3283847510814667,,,
3,0.40848028120842383,0.5325163726476912,0.370974230163909,0.41645029932260513,0.5065365470945835,0.3481740869581699,,,
4,0.40315037236568774,0.5406666318786905,0.38024591519794565,0.39340260028839114,0.5882669791579247,0.42485357969999316,,,
5,0.399427888082697,0.5488505778794593,0.3872793664006477,0.5144851222634316,0.5807201728224755,0.421456103771925,,,
6,0.39390369774179257,0.5490318628701758,0.3909155825905977,0.3911369785666466,0.6000974014401436,0.43707016184926034,,,
7,0.3950232146902287,0.5527101311277836,0.3933012356307912,0.38031505346298217,0.6119117826223374,0.45225242525339127,,,
8,0.3888404198149417,0.5368532709618832,0.3780889448491817,0.4007890969514847,0.5762094601988792,0.41355696618556975,,,
9,0.3896444877411457,0.5485626918838379,0.3867895609520851,0.4104567334055901,0.5109036013484001,0.35318163260817526,,,
10,0.38550277688401813,0.5546393516532918,0.39429910813874386,0.40061102658510206,0.5143677718937397,0.35754665061831475,,,
11,0.3938153102359873,0.5434820789923059,0.3844975210092169,0.42156797647476196,0.5881023555994034,0.42402613162994385,,,
12,0.38546488513337807,0.5640290977155908,0.4050664470154554,0.4128138795495033,0.4957989752292633,0.34323498569428923,,,
13,0.37353873569914636,0.577656237685934,0.41222168647862495,0.3779126018285751,0.5836359091103077,0.4247755192220211,,,
14,0.3726432065063335,0.5848915711679357,0.4244440608519189,0.38314624279737475,0.5426216118037701,0.38630400225520134,,,
15,0.37015060826818996,0.5828247802688721,0.41859203577041626,0.36912562400102616,0.6001916117966175,0.4458272397518158,,,
16,0.37370752226165,0.5746169464385256,0.4112202913520184,0.3704738199710846,0.6107092529535294,0.4518057331442833,,,
17,0.3735170010873612,0.5588728425667641,0.3985984025800482,0.37033399641513826,0.6053935714066029,0.44919774681329727,,,
18,0.3722342763175356,0.577692190700389,0.41492557739640806,0.37336221188306806,0.6145548954606056,0.45368376597762106,,,
19,0.3820083829316687,0.5494784861803055,0.38964600036752983,0.3791107267141342,0.5701982341706753,0.41132983528077605,,,
20,0.37039554388599194,0.5835566194133556,0.42212050630057113,0.37933339476585387,0.5533298134803772,0.3994159419089556,,,
test,,,,,,,0.36829054057598115,0.602582722902298,0.4465722516179085
