epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,test_loss,test_dice,test_iou
1,0.45377821467256035,0.5079800270257457,0.35057008638978004,0.44617137990214606,0.5612240067937158,0.41484126753427764,,,
2,0.41382118194333967,0.5285630737261106,0.3688890377199778,0.38935746997594833,0.5523801818490028,0.4042499978095293,,,
3,0.4134517081322209,0.534035018695298,0.3750776497907536,0.3968826552683657,0.5209471821276979,0.37905045361681416,,,
4,0.4062037743547911,0.5379061280719696,0.37687120322258244,0.3839634250510823,0.5558691544634093,0.41939592886442384,,,
5,0.4042564191484964,0.5445846639653688,0.3831739471324028,0.3955535204573111,0.525936149760541,0.3857302807069077,,,
6,0.3996345746901728,0.5454234646292784,0.3883793528081589,0.4295410473238338,0.45160999544961106,0.3157415646981505,,,
7,0.3998716076215108,0.5383677905605685,0.3791480492199621,0.39372395791790704,0.4956489120694724,0.35786929728717287,,,
8,0.3947476094127983,0.5491769257732617,0.3897241065579076,0.3862854242324829,0.5642647324129939,0.4214460219425911,,,
9,0.3979998554593773,0.5373685722069074,0.378158364485028,0.3897468454458497,0.5370504056865518,0.39657899081199005,,,
10,0.39166553462705306,0.5473894005821597,0.38646535114735686,0.4299907806244763,0.38393195428611776,0.2579275138146222,,,
11,0.3860786326469914,0.5537370121286761,0.3946637931049511,0.3883679123087363,0.4970863287089619,0.3592298239137357,,,
12,0.3856463502812129,0.5649128070762081,0.40485967599576517,0.39763794432986865,0.5406453953209248,0.39984452233395795,,,
13,0.39115666045296577,0.5452675273021063,0.38570181656909247,0.4341293668205088,0.4132213029932288,0.27799624037485804,,,
14,0.3845746948193478,0.568734506926229,0.4088627973230936,0.40230564840815286,0.46875457331306786,0.33800533684882145,,,
15,0.38144501755314486,0.5533009725072051,0.3928810295658887,0.3695444105701013,0.5349942025819667,0.4006045635965442,,,
16,0.37523308236111874,0.581864580792445,0.4230860589292421,0.3611591431227597,0.5591519381004301,0.4213309556626799,,,
17,0.3757576142908424,0.5726018249187418,0.41383087819301956,0.37320550802079117,0.5567210184585778,0.4129716682846709,,,
18,0.3782463695413323,0.5704099877226737,0.40911821988962027,0.37280683422630484,0.582541768524429,0.4429449665959304,,,
19,0.3764434629870999,0.5720652787275212,0.4111374570156938,0.4062137712131847,0.5737452373247255,0.42968479450792074,,,
20,0.37020669476960294,0.5842264583835037,0.4235025373517826,0.3895661925727671,0.5388269060376015,0.3951389090242711,,,
test,,,,,,,0.34184187054634096,0.5700109481811524,0.4210374143905938
