output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,5934,189888,169535,169535,0.16168118
1,0,1,40953,1310496,1290143,1290143,1.23037624
2,0,2,50356,1611392,1591039,1591039,1.51733303
3,0,3,27505,880160,859807,859807,0.81997585
4,1,0,-15687,-501984,-522337,0,0.00000000
5,1,1,43204,1382528,1362175,1362175,1.29907131
6,1,2,43072,1378304,1357951,1357951,1.29504299
7,1,3,47413,1517216,1496863,1496863,1.42751980
8,2,0,-52493,-1679776,-1700129,0,0.00000000
9,2,1,-313,-10016,-30369,0,0.00000000
10,2,2,41910,1341120,1320767,1320767,1.25958157
11,2,3,46116,1475712,1455359,1455359,1.38793850
12,3,0,-41921,-1341472,-1361825,0,0.00000000
13,3,1,-30279,-968928,-989281,0,0.00000000
14,3,2,28965,926880,906527,906527,0.86453152
15,3,3,40951,1310432,1290079,1290079,1.23031521
