output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,36347,1853697,1851075,1851075,1.76532269
1,0,1,27243,1389393,1386771,1386771,1.32252789
2,0,2,-14135,-720885,-723507,0,0.00000000
3,0,3,-15564,-793764,-796386,0,0.00000000
4,1,0,26801,1366851,1364229,1364229,1.30103016
5,1,1,35812,1826412,1823790,1823790,1.73930168
6,1,2,14202,724302,721680,721680,0.68824768
7,1,3,-5727,-292077,-294699,0,0.00000000
8,2,0,5217,266067,263445,263445,0.25124073
9,2,1,26399,1346349,1343727,1343727,1.28147793
10,2,2,34957,1782807,1780185,1780185,1.69771671
11,2,3,16743,853893,851271,851271,0.81183529
12,3,0,-14840,-756840,-759462,0,0.00000000
13,3,1,29157,1487007,1484385,1484385,1.41561985
14,3,2,23239,1185189,1182567,1182567,1.12778378
15,3,3,21148,1078548,1075926,1075926,1.02608299
