output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-10387,-768638,-803601,0,0.00000000
1,0,1,109,8066,-26897,0,0.00000000
2,0,2,2064,152736,117773,117773,0.11231709
3,0,3,25752,1905648,1870685,1870685,1.78402424
4,1,0,-14461,-1070114,-1105077,0,0.00000000
5,1,1,-10217,-756058,-791021,0,0.00000000
6,1,2,1097,81178,46215,46215,0.04407406
7,1,3,1394,103156,68193,68193,0.06503391
8,2,0,-5373,-397602,-432565,0,0.00000000
9,2,1,-16688,-1234912,-1269875,0,0.00000000
10,2,2,-5699,-421726,-456689,0,0.00000000
11,2,3,-7719,-571206,-606169,0,0.00000000
12,3,0,9140,676360,641397,641397,0.61168385
13,3,1,-5325,-394050,-429013,0,0.00000000
14,3,2,-1966,-145484,-180447,0,0.00000000
15,3,3,-10593,-783882,-818845,0,0.00000000
