output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-40751,-3423084,-3380918,0,0.00000000
1,0,1,-8847,-743148,-700982,0,0.00000000
2,0,2,4759,399756,441922,441922,0.42144966
3,0,3,14477,1216068,1258234,1258234,1.19994545
4,1,0,-44099,-3704316,-3662150,0,0.00000000
5,1,1,-27301,-2293284,-2251118,0,0.00000000
6,1,2,3354,281736,323902,323902,0.30889702
7,1,3,15510,1302840,1345006,1345006,1.28269768
8,2,0,-6418,-539112,-496946,0,0.00000000
9,2,1,-47388,-3980592,-3938426,0,0.00000000
10,2,2,-19734,-1657656,-1615490,0,0.00000000
11,2,3,3900,327600,369766,369766,0.35263634
12,3,0,-4576,-384384,-342218,0,0.00000000
13,3,1,-42065,-3533460,-3491294,0,0.00000000
14,3,2,-26436,-2220624,-2178458,0,0.00000000
15,3,3,-5533,-464772,-422606,0,0.00000000
