output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,24265,1504430,1479922,1479922,1.41136360
1,0,1,29180,1809160,1784652,1784652,1.70197678
2,0,2,25125,1557750,1533242,1533242,1.46221352
3,0,3,4263,264306,239798,239798,0.22868919
4,1,0,-23344,-1447328,-1471836,0,0.00000000
5,1,1,16804,1041848,1017340,1017340,0.97021103
6,1,2,22282,1381484,1356976,1356976,1.29411316
7,1,3,32941,2042342,2017834,2017834,1.92435646
8,2,0,-10441,-647342,-671850,0,0.00000000
9,2,1,6244,387128,362620,362620,0.34582138
10,2,2,28925,1793350,1768842,1768842,1.68689919
11,2,3,27346,1695452,1670944,1670944,1.59353638
12,3,0,-26204,-1624648,-1649156,0,0.00000000
13,3,1,-10002,-620124,-644632,0,0.00000000
14,3,2,-4069,-252278,-276786,0,0.00000000
15,3,3,18781,1164422,1139914,1139914,1.08710670
