output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,3258,133578,143179,143179,0.13654613
1,0,1,21170,867970,877571,877571,0.83691692
2,0,2,17521,718361,727962,727962,0.69423866
3,0,3,-31230,-1280430,-1270829,0,0.00000000
4,1,0,2763,113283,122884,122884,0.11719131
5,1,1,9707,397987,407588,407588,0.38870621
6,1,2,21422,878302,887903,887903,0.84677029
7,1,3,27829,1140989,1150590,1150590,1.09728813
8,2,0,-3945,-161745,-152144,0,0.00000000
9,2,1,18860,773260,782861,782861,0.74659443
10,2,2,18887,774367,783968,783968,0.74765015
11,2,3,28501,1168541,1178142,1178142,1.12356377
12,3,0,-26352,-1080432,-1070831,0,0.00000000
13,3,1,-8623,-353543,-343942,0,0.00000000
14,3,2,9079,372239,381840,381840,0.36415100
15,3,3,22849,936809,946410,946410,0.90256691
