output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-39783,-2546112,-2546279,0,0.00000000
1,0,1,-32502,-2080128,-2080295,0,0.00000000
2,0,2,-9283,-594112,-594279,0,0.00000000
3,0,3,-17210,-1101440,-1101607,0,0.00000000
4,1,0,-13479,-862656,-862823,0,0.00000000
5,1,1,-45133,-2888512,-2888679,0,0.00000000
6,1,2,-18265,-1168960,-1169127,0,0.00000000
7,1,3,1858,118912,118745,118745,0.11324406
8,2,0,23092,1477888,1477721,1477721,1.40926456
9,2,1,-22666,-1450624,-1450791,0,0.00000000
10,2,2,-31295,-2002880,-2003047,0,0.00000000
11,2,3,-17884,-1144576,-1144743,0,0.00000000
12,3,0,24738,1583232,1583065,1583065,1.50972843
13,3,1,-21936,-1403904,-1404071,0,0.00000000
14,3,2,-21211,-1357504,-1357671,0,0.00000000
15,3,3,-16482,-1054848,-1055015,0,0.00000000
