output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,14809,755259,745449,745449,0.71091557
1,0,1,21144,1078344,1068534,1068534,1.01903343
2,0,2,-6424,-327624,-337434,0,0.00000000
3,0,3,-15244,-777444,-787254,0,0.00000000
4,1,0,20444,1042644,1032834,1032834,0.98498726
5,1,1,27620,1408620,1398810,1398810,1.33400917
6,1,2,19341,986391,976581,976581,0.93134022
7,1,3,-12593,-642243,-652053,0,0.00000000
8,2,0,13483,687633,677823,677823,0.64642239
9,2,1,5739,292689,282879,282879,0.26977444
10,2,2,30846,1573146,1563336,1563336,1.49091339
11,2,3,24655,1257405,1247595,1247595,1.18979931
12,3,0,-3833,-195483,-205293,0,0.00000000
13,3,1,21201,1081251,1071441,1071441,1.02180576
14,3,2,26307,1341657,1331847,1331847,1.27014828
15,3,3,14735,751485,741675,741675,0.70731640
