land_cover_class,pearson_r_vs_dice,pearson_r_vs_iou,n_flight_paths
water,-0.4668519116943343,-0.43732203024028843,7
trees,0.5649895310161734,0.5211999042606023,7
flooded_vegetation,-0.23776830910074376,-0.19287098573620112,7
crops,-0.3391774005469151,-0.3196973341833967,7
built_area,0.6379215301379285,0.654907857109613,7
bare_ground,-0.1508100934350561,-0.12836417439259848,7
rangeland,0.2795037047647143,0.2398901636460097,7
