output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,28450,569000,566006,566006,0.53978539
1,0,1,42659,853180,850186,850186,0.81080055
2,0,2,15724,314480,311486,311486,0.29705620
3,0,3,-1863,-37260,-40254,0,0.00000000
4,1,0,21115,422300,419306,419306,0.39988136
5,1,1,38342,766840,763846,763846,0.72846031
6,1,2,52568,1051360,1048366,1048366,0.99979973
7,1,3,9699,193980,190986,190986,0.18213844
8,2,0,-660,-13200,-16194,0,0.00000000
9,2,1,15133,302660,299666,299666,0.28578377
10,2,2,46970,939400,936406,936406,0.89302635
11,2,3,54605,1092100,1089106,1089106,1.03865242
12,3,0,-25328,-506560,-509554,0,0.00000000
13,3,1,7537,150740,147746,147746,0.14090157
14,3,2,33769,675380,672386,672386,0.64123726
15,3,3,52045,1040900,1037906,1037906,0.98982430
