threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.400649,0.250507,0.251985,0.97712,,,,,False
0.1,0.51857,0.350047,0.36378,0.902654,,,,,False
0.15,0.58105,0.409493,0.443483,0.842341,,,,,False
0.2,0.615031,0.444075,0.498983,0.801415,,,,,False
0.25,0.653005,0.484786,0.596156,0.721838,,,,,False
0.3,0.66462,0.497701,0.639093,0.692272,,,,,False
0.35,0.668138,0.501657,0.67025,0.666039,0.624096,0.45359,0.776784,0.521574,True
0.4,0.668104,0.501619,0.69665,0.641805,,,,,False
0.45,0.664563,0.497637,0.72023,0.616884,,,,,False
0.5,0.657152,0.489371,0.742849,0.589182,,,,,False
0.55,0.644645,0.475628,0.766436,0.556253,,,,,False
0.6,0.622578,0.451987,0.793056,0.512425,,,,,False
0.65,0.588177,0.416609,0.824044,0.457288,,,,,False
0.7,0.545051,0.374619,0.848138,0.401554,,,,,False
0.75,0.481601,0.317176,0.866247,0.33351,,,,,False
0.8,0.372805,0.229109,0.875854,0.236799,,,,,False
0.85,0.238601,0.135461,0.887441,0.137829,,,,,False
0.9,0.086581,0.04525,0.886608,0.045513,,,,,False
0.95,0.003325,0.001665,0.950894,0.001665,,,,,False
