threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.426028,0.270671,0.271048,0.994882,,,,,False
0.1,0.477124,0.313305,0.317441,0.960068,,,,,False
0.15,0.52578,0.35665,0.367225,0.925288,,,,,False
0.2,0.576859,0.405342,0.427396,0.887074,,,,,False
0.25,0.610618,0.439489,0.48025,0.83814,,,,,False
0.3,0.634133,0.464272,0.56168,0.728047,,,,,False
0.35,0.651405,0.483024,0.626408,0.678479,,,,,False
0.4,0.655369,0.487396,0.672627,0.638974,0.749208,0.598986,0.75272,0.745728,True
0.45,0.65126,0.482866,0.709607,0.60178,,,,,False
0.5,0.641125,0.471806,0.740787,0.5651,,,,,False
0.55,0.622947,0.452377,0.768763,0.523628,,,,,False
0.6,0.600227,0.428803,0.795647,0.481873,,,,,False
0.65,0.573992,0.402517,0.820465,0.441394,,,,,False
0.7,0.541265,0.371051,0.844894,0.398174,,,,,False
0.75,0.487305,0.322144,0.869941,0.338444,,,,,False
0.8,0.385443,0.23873,0.894401,0.245654,,,,,False
0.85,0.216828,0.121597,0.927773,0.122759,,,,,False
0.9,0.03725,0.018978,0.95921,0.018994,,,,,False
0.95,0.000296,0.000148,0.995556,0.000148,,,,,False
