threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.488759,0.323416,0.326981,0.967391,,,,,False
0.1,0.585905,0.414333,0.434805,0.897956,,,,,False
0.15,0.625354,0.45492,0.504039,0.823576,,,,,False
0.2,0.654418,0.486346,0.58661,0.739951,,,,,False
0.25,0.670509,0.504335,0.631081,0.715192,,,,,False
0.3,0.680834,0.516109,0.668724,0.693391,,,,,False
0.35,0.686571,0.522732,0.705685,0.668465,,,,,False
0.4,0.687071,0.523312,0.733853,0.645897,0.560446,0.389319,0.524542,0.601626,True
0.45,0.685664,0.52168,0.757236,0.626452,,,,,False
0.5,0.681904,0.51734,0.777626,0.607165,,,,,False
0.55,0.675622,0.510143,0.797152,0.586246,,,,,False
0.6,0.663585,0.496542,0.816751,0.558794,,,,,False
0.65,0.634409,0.464567,0.838539,0.510207,,,,,False
0.7,0.575811,0.404308,0.863732,0.431855,,,,,False
0.75,0.497676,0.331271,0.885917,0.346032,,,,,False
0.8,0.357521,0.217672,0.907142,0.222632,,,,,False
0.85,0.16296,0.088708,0.908792,0.089505,,,,,False
0.9,0.00862,0.004329,0.869413,0.004332,,,,,False
0.95,3.4e-05,1.7e-05,0.929825,1.7e-05,,,,,False
