threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.46248,0.300796,0.301893,0.988068,,,,,False
0.1,0.563703,0.39247,0.407355,0.914825,,,,,False
0.15,0.610207,0.439064,0.478874,0.840803,,,,,False
0.2,0.634506,0.464671,0.533597,0.78248,,,,,False
0.25,0.645876,0.47697,0.56803,0.748448,,,,,False
0.3,0.651231,0.482833,0.592797,0.722445,,,,,False
0.35,0.653457,0.485285,0.612422,0.700386,0.617366,0.446514,0.497707,0.812773,True
0.4,0.653044,0.48483,0.629062,0.678928,,,,,False
0.45,0.650725,0.482278,0.644272,0.657309,,,,,False
0.5,0.645966,0.477068,0.658447,0.633949,,,,,False
0.55,0.637983,0.46841,0.673339,0.606155,,,,,False
0.6,0.627581,0.457281,0.686669,0.577856,,,,,False
0.65,0.612651,0.441598,0.702374,0.543254,,,,,False
0.7,0.588562,0.416995,0.726115,0.494824,,,,,False
0.75,0.564911,0.393642,0.766637,0.447231,,,,,False
0.8,0.527036,0.357806,0.81093,0.390372,,,,,False
0.85,0.478291,0.314311,0.832492,0.335532,,,,,False
0.9,0.396232,0.247063,0.857567,0.257635,,,,,False
0.95,0.21937,0.123198,0.875305,0.125399,,,,,False
