threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.408809,0.25692,0.257243,0.995131,,,,,False
0.1,0.486335,0.321296,0.326382,0.953748,,,,,False
0.15,0.528079,0.358768,0.37021,0.920689,,,,,False
0.2,0.55886,0.38779,0.407371,0.889719,,,,,False
0.25,0.579761,0.408214,0.436633,0.862481,,,,,False
0.3,0.602529,0.431157,0.476808,0.818291,,,,,False
0.35,0.615963,0.445048,0.502239,0.796265,,,,,False
0.4,0.625666,0.45525,0.524872,0.774373,,,,,False
0.45,0.634222,0.464367,0.548635,0.751448,,,,,False
0.5,0.644366,0.475324,0.581998,0.721705,,,,,False
0.55,0.654067,0.485958,0.638665,0.67023,0.461484,0.299954,0.418768,0.513905,True
0.6,0.647464,0.478704,0.68398,0.61465,,,,,False
0.65,0.632585,0.462614,0.714644,0.567431,,,,,False
0.7,0.616668,0.445785,0.74414,0.526481,,,,,False
0.75,0.596124,0.424627,0.772225,0.485426,,,,,False
0.8,0.566595,0.395279,0.800883,0.438359,,,,,False
0.85,0.520928,0.3522,0.831573,0.379254,,,,,False
0.9,0.441762,0.283501,0.865531,0.296563,,,,,False
0.95,0.26109,0.150146,0.900461,0.15268,,,,,False
