threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.404156,0.253255,0.254616,0.979326,,,,,False
0.1,0.487064,0.321933,0.328905,0.938224,,,,,False
0.15,0.540468,0.370302,0.385815,0.902056,,,,,False
0.2,0.576878,0.405361,0.430327,0.874795,,,,,False
0.25,0.607465,0.43623,0.473534,0.847035,,,,,False
0.3,0.637197,0.467564,0.522709,0.815903,,,,,False
0.35,0.658883,0.491295,0.566016,0.788205,,,,,False
0.4,0.6741,0.508409,0.60379,0.762942,,,,,False
0.45,0.685575,0.521578,0.641795,0.735765,,,,,False
0.5,0.690755,0.527598,0.676466,0.705662,0.624455,0.453969,0.718076,0.55243,True
0.55,0.688912,0.525451,0.708928,0.669995,,,,,False
0.6,0.678981,0.513983,0.74044,0.626943,,,,,False
0.65,0.660975,0.493624,0.771137,0.578354,,,,,False
0.7,0.632881,0.46293,0.800975,0.523101,,,,,False
0.75,0.58862,0.417053,0.831041,0.455692,,,,,False
0.8,0.516496,0.34816,0.861298,0.368839,,,,,False
0.85,0.397496,0.248047,0.891409,0.255776,,,,,False
0.9,0.204758,0.114056,0.938521,0.114915,,,,,False
0.95,0.007687,0.003858,0.985085,0.003858,,,,,False
