output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,51070,3472760,3447099,3447099,3.28740978
1,0,1,-1774,-120632,-146293,0,0.00000000
2,0,2,-17710,-1204280,-1229941,0,0.00000000
3,0,3,-15510,-1054680,-1080341,0,0.00000000
4,1,0,55391,3766588,3740927,3740927,3.56762600
5,1,1,27936,1899648,1873987,1873987,1.78717327
6,1,2,-8670,-589560,-615221,0,0.00000000
7,1,3,-30254,-2057272,-2082933,0,0.00000000
8,2,0,26681,1814308,1788647,1788647,1.70578671
9,2,1,56305,3828740,3803079,3803079,3.62689877
10,2,2,12076,821168,795507,795507,0.75865459
11,2,3,-7222,-491096,-516757,0,0.00000000
12,3,0,12677,862036,836375,836375,0.79762936
13,3,1,49511,3366748,3341087,3341087,3.18630886
14,3,2,27667,1881356,1855695,1855695,1.76972866
15,3,3,5097,346596,320935,320935,0.30606747
