sample_id,flight_path,tile_name,land_cover_mask_path,total_pixels,known_pixels,nodata_pixels,unknown_pixels,unknown_codes,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1_tile_15_49,fp1,tile_15_49.tif,land_cover_mask_tiles/tile_15_49.tif,65536,65536,0,0,,118,28315,0,33168,3027,0,908,0.1800537109375,43.20526123046875,0.0,50.6103515625,4.61883544921875,0.0,1.385498046875
fp1_tile_15_50,fp1,tile_15_50.tif,land_cover_mask_tiles/tile_15_50.tif,65536,65536,0,0,,389,30941,5,11841,19678,0,2682,0.59356689453125,47.21221923828125,0.00762939453125,18.06793212890625,30.0262451171875,0.0,4.0924072265625
fp1_tile_15_51,fp1,tile_15_51.tif,land_cover_mask_tiles/tile_15_51.tif,65536,65536,0,0,,529,24746,97,32727,4695,67,2675,0.80718994140625,37.7593994140625,0.14801025390625,49.93743896484375,7.16400146484375,0.10223388671875,4.08172607421875
fp1_tile_15_52,fp1,tile_15_52.tif,land_cover_mask_tiles/tile_15_52.tif,65536,65536,0,0,,1070,29810,0,28169,5345,0,1142,1.6326904296875,45.4864501953125,0.0,42.98248291015625,8.15582275390625,0.0,1.7425537109375
fp1_tile_15_53,fp1,tile_15_53.tif,land_cover_mask_tiles/tile_15_53.tif,65536,65536,0,0,,680,25295,7,36867,1976,38,673,1.03759765625,38.59710693359375,0.01068115234375,56.25457763671875,3.01513671875,0.0579833984375,1.02691650390625
fp1_tile_16_50,fp1,tile_16_50.tif,land_cover_mask_tiles/tile_16_50.tif,65536,65536,0,0,,222,34022,0,21829,7690,0,1773,0.3387451171875,51.9134521484375,0.0,33.30841064453125,11.7340087890625,0.0,2.70538330078125
fp1_tile_16_51,fp1,tile_16_51.tif,land_cover_mask_tiles/tile_16_51.tif,65536,65536,0,0,,1078,19842,0,37907,5497,34,1178,1.6448974609375,30.2764892578125,0.0,57.84149169921875,8.38775634765625,0.0518798828125,1.7974853515625
fp1_tile_16_52,fp1,tile_16_52.tif,land_cover_mask_tiles/tile_16_52.tif,65536,65536,0,0,,105,18478,0,42876,3781,0,296,0.16021728515625,28.1951904296875,0.0,65.423583984375,5.76934814453125,0.0,0.45166015625
fp1_tile_16_53,fp1,tile_16_53.tif,land_cover_mask_tiles/tile_16_53.tif,65536,65536,0,0,,269,33627,54,25835,2410,0,3341,0.41046142578125,51.31072998046875,0.0823974609375,39.42108154296875,3.6773681640625,0.0,5.09796142578125
fp1_tile_17_50,fp1,tile_17_50.tif,land_cover_mask_tiles/tile_17_50.tif,65536,65536,0,0,,314,31416,0,30143,3442,4,217,0.4791259765625,47.93701171875,0.0,45.99456787109375,5.2520751953125,0.006103515625,0.33111572265625
fp1_tile_17_51,fp1,tile_17_51.tif,land_cover_mask_tiles/tile_17_51.tif,65536,65536,0,0,,13,27948,0,35686,1814,0,75,0.01983642578125,42.645263671875,0.0,54.4525146484375,2.7679443359375,0.0,0.11444091796875
fp1_tile_17_52,fp1,tile_17_52.tif,land_cover_mask_tiles/tile_17_52.tif,65536,65536,0,0,,116,26674,0,37243,924,0,579,0.177001953125,40.7012939453125,0.0,56.82830810546875,1.409912109375,0.0,0.88348388671875
fp1_tile_17_53,fp1,tile_17_53.tif,land_cover_mask_tiles/tile_17_53.tif,65536,65536,0,0,,9,19679,0,43327,2240,0,281,0.01373291015625,30.02777099609375,0.0,66.11175537109375,3.41796875,0.0,0.42877197265625
fp1_tile_18_50,fp1,tile_18_50.tif,land_cover_mask_tiles/tile_18_50.tif,65536,65536,0,0,,142,25327,0,27374,11415,0,1278,0.2166748046875,38.64593505859375,0.0,41.7694091796875,17.41790771484375,0.0,1.9500732421875
fp1_tile_18_51,fp1,tile_18_51.tif,land_cover_mask_tiles/tile_18_51.tif,65536,65536,0,0,,10,34856,0,11169,12890,1,6610,0.0152587890625,53.18603515625,0.0,17.04254150390625,19.6685791015625,0.00152587890625,10.0860595703125
fp1_tile_18_52,fp1,tile_18_52.tif,land_cover_mask_tiles/tile_18_52.tif,65536,65536,0,0,,213,23137,0,23361,10295,10,8520,0.32501220703125,35.30426025390625,0.0,35.64605712890625,15.70892333984375,0.0152587890625,13.00048828125
fp1_tile_18_53,fp1,tile_18_53.tif,land_cover_mask_tiles/tile_18_53.tif,65536,65536,0,0,,60,30300,0,30064,4452,0,660,0.091552734375,46.234130859375,0.0,45.8740234375,6.793212890625,0.0,1.007080078125
fp1_tile_18_54,fp1,tile_18_54.tif,land_cover_mask_tiles/tile_18_54.tif,65536,65536,0,0,,1274,32226,20,20256,7937,0,3823,1.9439697265625,49.1729736328125,0.030517578125,30.908203125,12.11090087890625,0.0,5.83343505859375
fp1_tile_19_51,fp1,tile_19_51.tif,land_cover_mask_tiles/tile_19_51.tif,65536,65536,0,0,,206,21963,0,17590,21127,0,4650,0.3143310546875,33.51287841796875,0.0,26.8402099609375,32.23724365234375,0.0,7.0953369140625
fp1_tile_19_52,fp1,tile_19_52.tif,land_cover_mask_tiles/tile_19_52.tif,65536,65536,0,0,,240,7282,0,10783,44782,0,2449,0.3662109375,11.1114501953125,0.0,16.45355224609375,68.3319091796875,0.0,3.73687744140625
fp1_tile_19_53,fp1,tile_19_53.tif,land_cover_mask_tiles/tile_19_53.tif,65536,65536,0,0,,107,21475,0,33668,9807,0,479,0.16326904296875,32.76824951171875,0.0,51.373291015625,14.96429443359375,0.0,0.73089599609375
fp1_tile_19_54,fp1,tile_19_54.tif,land_cover_mask_tiles/tile_19_54.tif,65536,65536,0,0,,4600,37245,541,17119,2923,28,3080,7.01904296875,56.83135986328125,0.82550048828125,26.12152099609375,4.46014404296875,0.042724609375,4.69970703125
fp1_tile_20_51,fp1,tile_20_51.tif,land_cover_mask_tiles/tile_20_51.tif,65536,65536,0,0,,5330,35155,3078,5161,15161,0,1651,8.1329345703125,53.64227294921875,4.6966552734375,7.87506103515625,23.13385009765625,0.0,2.51922607421875
fp1_tile_20_52,fp1,tile_20_52.tif,land_cover_mask_tiles/tile_20_52.tif,65536,65536,0,0,,4574,20805,610,2319,31532,1,5695,6.9793701171875,31.74591064453125,0.9307861328125,3.53851318359375,48.114013671875,0.00152587890625,8.68988037109375
fp1_tile_20_53,fp1,tile_20_53.tif,land_cover_mask_tiles/tile_20_53.tif,65536,65536,0,0,,5730,31443,287,13819,12354,0,1903,8.7432861328125,47.97821044921875,0.43792724609375,21.08612060546875,18.8507080078125,0.0,2.90374755859375
fp1_tile_20_54,fp1,tile_20_54.tif,land_cover_mask_tiles/tile_20_54.tif,65536,65536,0,0,,2047,31476,293,26465,3568,0,1687,3.12347412109375,48.028564453125,0.44708251953125,40.38238525390625,5.4443359375,0.0,2.57415771484375
fp1_tile_21_51,fp1,tile_21_51.tif,land_cover_mask_tiles/tile_21_51.tif,65536,65536,0,0,,169,28424,0,18739,14676,0,3528,0.25787353515625,43.37158203125,0.0,28.59344482421875,22.393798828125,0.0,5.38330078125
fp1_tile_21_52,fp1,tile_21_52.tif,land_cover_mask_tiles/tile_21_52.tif,65536,65536,0,0,,364,32018,0,23460,6222,3,3469,0.555419921875,48.8555908203125,0.0,35.797119140625,9.4940185546875,0.00457763671875,5.29327392578125
fp1_tile_21_53,fp1,tile_21_53.tif,land_cover_mask_tiles/tile_21_53.tif,65536,65536,0,0,,71,27114,0,33524,3827,0,1000,0.10833740234375,41.3726806640625,0.0,51.153564453125,5.83953857421875,0.0,1.52587890625
