flight_path,num_tiles,total_known_landcover_pixels,nodata_pixels,unknown_pixels,unknown_codes_seen,class_1_water_pixels,class_2_trees_pixels,class_4_flooded_vegetation_pixels,class_5_crops_pixels,class_7_built_area_pixels,class_8_bare_ground_pixels,class_11_rangeland_pixels,class_1_water_pct,class_2_trees_pct,class_4_flooded_vegetation_pct,class_5_crops_pct,class_7_built_area_pct,class_8_bare_ground_pct,class_11_rangeland_pct
fp1,137,8978432,0,0,,410000,4343833,77168,2933429,858315,4424,351263,4.566498916514599,48.38075289761063,0.8594819229014599,32.67195207359147,9.559742725678603,0.04927363708941606,3.912297826613823
fp2,138,9043968,0,0,,211805,5316286,71207,1768808,1201929,8105,465828,2.341947693755661,58.78267149994339,0.7873424585314764,19.55787548120471,13.289841361667799,0.08961774300837862,5.150703761888587
fp3,164,10747904,0,0,,196930,7134165,39429,1225373,1151161,11981,988865,1.8322642256573933,66.37726760492092,0.36685292313738566,11.401041542611472,10.710562729254,0.1114728974133003,9.200538077005525
fp4,181,11862016,0,0,,205558,7039876,12450,3088461,958968,1028,555675,1.732909481828384,59.34805685643992,0.10495686399343923,26.036560733015367,8.084359353418508,0.008666317765883978,4.684490393538502
fp5,160,10485760,0,0,,172137,5900010,9701,3183095,837233,584,383000,1.6416263580322266,56.26688003540039,0.09251594543457031,30.356359481811523,7.984476089477539,0.0055694580078125,3.6525726318359375
fp6,170,11141120,0,0,,205173,7005470,40121,1461972,1356434,7403,1064547,1.841583251953125,62.879405302159924,0.3601163976332721,13.122307272518382,12.175023696001839,0.06644753848805147,9.555116541245404
fp7,117,7667712,0,0,,1584854,3450824,127357,1264709,842993,19365,377610,20.669190496461006,45.004611545138886,1.6609517937032585,16.49395543285924,10.994061853131678,0.2525525215344551,4.9246763571714745
ALL,1067,69926912,0,0,,2986457,40190464,377433,14925847,7207033,52890,4186788,4.270826373685713,57.47495899718838,0.5397535644073629,21.344925112666207,10.306522616070906,0.07563611560596298,5.9873772203754685
