output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,26331,184317,183531,183531,2.80046082
1,0,1,5003,35021,34235,34235,0.52238464
2,0,2,-8677,-60739,-61525,0,0.00000000
3,0,3,-9908,-69356,-70142,0,0.00000000
4,1,0,23920,167440,166654,166654,2.54293823
5,1,1,-909,-6363,-7149,0,0.00000000
6,1,2,2885,20195,19409,19409,0.29615784
7,1,3,-17063,-119441,-120227,0,0.00000000
8,2,0,19446,136122,135336,135336,2.06506348
9,2,1,42635,298445,297659,297659,4.54191589
10,2,2,10019,70133,69347,69347,1.05815125
11,2,3,6691,46837,46051,46051,0.70268250
12,3,0,23809,166663,165877,165877,2.53108215
13,3,1,16975,118825,118039,118039,1.80113220
14,3,2,9149,64043,63257,63257,0.96522522
15,3,3,8564,59948,59162,59162,0.90274048
