output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,40250,2898000,2909510,2909510,2.77472496
1,0,1,16709,1203048,1214558,1214558,1.15829277
2,0,2,-13647,-982584,-971074,0,0.00000000
3,0,3,-19761,-1422792,-1411282,0,0.00000000
4,1,0,25291,1820952,1832462,1832462,1.74757195
5,1,1,11024,793728,805238,805238,0.76793480
6,1,2,13901,1000872,1012382,1012382,0.96548271
7,1,3,7674,552528,564038,564038,0.53790855
8,2,0,-2218,-159696,-148186,0,0.00000000
9,2,1,45331,3263832,3275342,3275342,3.12360954
10,2,2,19920,1434240,1445750,1445750,1.37877464
11,2,3,-2894,-208368,-196858,0,0.00000000
12,3,0,-16437,-1183464,-1171954,0,0.00000000
13,3,1,18894,1360368,1371878,1371878,1.30832481
14,3,2,13613,980136,991646,991646,0.94570732
15,3,3,-4129,-297288,-285778,0,0.00000000
