output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,2658,202008,200698,200698,0.19140053
1,0,1,3231,245556,244246,244246,0.23293114
2,0,2,3853,292828,291518,291518,0.27801323
3,0,3,34265,2604140,2602830,2602830,2.48225212
4,1,0,-14065,-1068940,-1070250,0,0.00000000
5,1,1,-8672,-659072,-660382,0,0.00000000
6,1,2,2244,170544,169234,169234,0.16139412
7,1,3,14432,1096832,1095522,1095522,1.04477119
8,2,0,-29336,-2229536,-2230846,0,0.00000000
9,2,1,-17562,-1334712,-1336022,0,0.00000000
10,2,2,2768,210368,209058,209058,0.19937325
11,2,3,2859,217284,215974,215974,0.20596886
12,3,0,3938,299288,297978,297978,0.28417397
13,3,1,-14682,-1115832,-1117142,0,0.00000000
14,3,2,-17097,-1299372,-1300682,0,0.00000000
15,3,3,1926,146376,145066,145066,0.13834572
