epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.6504856639852127,0.4963066217799981,0.3369975322857499,0.4060292548189561,0.6972503451009592,0.6371907889842987,0.5332302420089642,0.3783188173547387,0.43227000379314023,0.7550115833679835
2,0.5828253775835037,0.5822609215974808,0.41468889576693374,0.5177838473270336,0.6851772343118986,0.6118947838743528,0.510791378095746,0.3590357868621747,0.6159027057389418,0.4513618250687917
3,0.5636845584958792,0.6087522438416878,0.44204981221506995,0.5601278056080142,0.7009292989969254,0.616663008928299,0.5431062790254751,0.38843143700311583,0.433421744654576,0.7723281681537628
4,0.5462721101939678,0.6190946425000826,0.4537114966660738,0.5641319987674555,0.7154470793902874,0.561844306687514,0.5816515510280927,0.4271493051201105,0.5156042451659838,0.7104381819566091
5,0.5259749790032705,0.6423797340442737,0.4784235420326392,0.5827363456288973,0.7389851833383242,0.6743621826171875,0.5218124538660049,0.3684322036181887,0.4021021857236822,0.8081319779157639
6,0.546714348718524,0.6144041487326225,0.45134011035164195,0.5510718962177634,0.7293207844098409,0.5429355278611183,0.595896594847242,0.4455158052345117,0.6228422112762928,0.5871907410522302
7,0.5116315875202417,0.6499785532553991,0.4862001569320758,0.610067181289196,0.7250184807926416,0.5525519500176111,0.5814237507681052,0.42584236649175483,0.49265317370494205,0.7490553458531698
8,0.5012728242824475,0.6540764992435774,0.4915616155291597,0.6013044888774554,0.7413985580205917,0.5351681237419447,0.6088898883511623,0.45666273093471926,0.5362837985157967,0.736437497039636
9,0.49658824565509957,0.661043873677651,0.5047256022226065,0.6219345641632875,0.7422521896660328,0.5661307871341705,0.5421162967880567,0.394980960059911,0.7348842670520147,0.4484854781379302
10,0.4672589997450511,0.692118052393198,0.5353083955124021,0.6546441083773971,0.7532722738881906,0.5750955616434416,0.5299602259571353,0.38270268340905506,0.7460830907026926,0.4283568849787116
11,0.4594352611651023,0.697439244017005,0.5404353768875202,0.6642802072068056,0.7595475427806377,0.547294112543265,0.5728600503255924,0.4232475251580278,0.7773748201628526,0.46899331857760745
12,0.4735549713174502,0.6821440796678265,0.5280720158480108,0.6590953394770622,0.7481858916580677,0.5296397830049197,0.6158645246177912,0.4660254381597042,0.5496196635067463,0.7373405744632086
13,0.43941278507312137,0.7144680290172497,0.5621115720520417,0.6896349620074034,0.7690878560145696,0.4967138320207596,0.6304788421839476,0.4826387421538432,0.7232073297103246,0.5661491745462021
14,0.4151332564651966,0.7333918294558922,0.584737740457058,0.7104177686075369,0.7799772247672081,0.5256824170549711,0.6128625099857649,0.4605286406973998,0.5403989509989818,0.7430399159590403
15,0.4102007367958625,0.737110131730636,0.5897852374861637,0.7129170242697,0.7843188568949699,0.5932882154981295,0.5468160460392634,0.38976809320350486,0.42018813267350197,0.8224830577770869
16,0.39658985783656436,0.7489496767520905,0.6059606398145357,0.7289434975634018,0.7900551594793797,0.5130279089013735,0.6175931766629219,0.4641780089586973,0.6151654987285534,0.6403427744905154
17,0.383273355041941,0.7586957750221094,0.6182472687214613,0.7294783753653368,0.8129484429955482,0.49255941808223724,0.6323414482176304,0.4838682059198618,0.7361746144791445,0.5740696539481481
18,0.36120714495579404,0.7798314280807972,0.6473188381642103,0.760957200701038,0.8190179529289404,0.47226213415463764,0.6554096899926662,0.5084324261794487,0.6628358252346516,0.6712054535746574
19,0.34127721314628917,0.796755121399959,0.6650472866992155,0.7826657183468342,0.8229687561591467,0.47576259076595306,0.6541876420378685,0.5057834833860397,0.6877148443212112,0.6406182125210762
20,0.34010961061964434,0.7933291232523819,0.6692242456289629,0.7700353720380614,0.8333432966222366,0.9428975482781728,0.13057283125817776,0.07277439239745338,0.8026811542610327,0.07407240740333994
