target_bucket,split,total_rows,unique_tile_stems,count_00_01_percent,count_01_02_percent,count_02_05_percent,count_05_10_percent,count_10_25_percent,count_25_50_percent,count_gt_50_percent,mean_flood_fraction,median_flood_fraction,min_flood_fraction,max_flood_fraction
00_01_percent,train,823,636,24,43,110,172,197,161,116,0.22918843,0.13387665,0.00000000,0.99867222
00_01_percent,val,205,159,9,7,21,38,49,37,44,0.27476841,0.16032538,0.00000000,0.99386597
00_01_percent,test,39,22,39,0,0,0,0,0,0,0.00271858,0.00139567,0.00000000,0.00918579
