output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-12594,-1045302,-1059310,0,0.00000000
1,0,1,-845,-70135,-84143,0,0.00000000
2,0,2,6551,543733,529725,529725,0.50518513
3,0,3,-9280,-770240,-784248,0,0.00000000
4,1,0,-14072,-1167976,-1181984,0,0.00000000
5,1,1,9680,803440,789432,789432,0.75286102
6,1,2,-4137,-343371,-357379,0,0.00000000
7,1,3,21360,1772880,1758872,1758872,1.67739105
8,2,0,-11458,-951014,-965022,0,0.00000000
9,2,1,-15722,-1304926,-1318934,0,0.00000000
10,2,2,4368,362544,348536,348536,0.33238983
11,2,3,-3655,-303365,-317373,0,0.00000000
12,3,0,-20540,-1704820,-1718828,0,0.00000000
13,3,1,-15715,-1304345,-1318353,0,0.00000000
14,3,2,7321,607643,593635,593635,0.56613445
15,3,3,-2799,-232317,-246325,0,0.00000000
