output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-13794,-855228,-864610,0,0.00000000
1,0,1,-10540,-653480,-662862,0,0.00000000
2,0,2,9907,614234,604852,604852,0.57683182
3,0,3,-2191,-135842,-145224,0,0.00000000
4,1,0,-16205,-1004710,-1014092,0,0.00000000
5,1,1,-20793,-1289166,-1298548,0,0.00000000
6,1,2,-9257,-573934,-583316,0,0.00000000
7,1,3,5160,319920,310538,310538,0.29615211
8,2,0,13266,822492,813110,813110,0.77544212
9,2,1,-9915,-614730,-624112,0,0.00000000
10,2,2,-15173,-940726,-950108,0,0.00000000
11,2,3,-7417,-459854,-469236,0,0.00000000
12,3,0,12193,755966,746584,746584,0.71199799
13,3,1,-6466,-400892,-410274,0,0.00000000
14,3,2,-17837,-1105894,-1115276,0,0.00000000
15,3,3,-13226,-820012,-829394,0,0.00000000
