model,global_threshold,mean_val_dice_at_global_threshold,mean_test_dice_global,mean_test_iou_global,mean_test_precision_global,mean_test_recall_global,mean_test_dice_at_0.5,mean_test_iou_at_0.5,mean_test_precision_at_0.5,mean_test_recall_at_0.5,per_fold_mean_test_dice_reference,global_vs_perfold_dice_delta
Original U-Net,0.35,0.6598,0.6012,0.4351,0.6562,0.5666,0.5702,0.4048,0.7209,0.4821,0.5982,0.0030
Alea-tuned U-Net,0.55,0.7117,0.6267,0.4640,0.6694,0.6063,0.6257,0.4630,0.6476,0.6241,0.6068,0.0199
