epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.48642772626369557,0.5084753291721039,0.35173095366422163,0.414314529299736,0.5741392143070698,0.41368787437677385
2,0.4193472389845138,0.51942760782673,0.3597278573570099,0.40423470437526704,0.5362367287278176,0.37586050629615786
3,0.40807920662646596,0.5183243646900705,0.3603441812732118,0.42168972343206407,0.4739070527255535,0.32138718776404857
4,0.4000974123148208,0.5199900193417326,0.36294131151380693,0.39664517641067504,0.5612359747290612,0.40336877331137655
5,0.39191803875121667,0.5458462287453895,0.38453888132217084,0.38950861394405367,0.5850228302180767,0.42507512122392654
6,0.38710265543232575,0.5540506524291444,0.39437543569093053,0.3924052283167839,0.5676437638700008,0.4071982689201832
7,0.39194122305575835,0.5276790280291375,0.36878468013031684,0.3858015641570091,0.6006451122462749,0.4417293954640627
8,0.38768579985233065,0.5396703855788454,0.3793373283870677,0.3886795178055763,0.589510577917099,0.4285241741687059
9,0.383132610232272,0.559221846784683,0.3992131175671486,0.38479616343975065,0.5749851539731026,0.4143510203808546
10,0.37488965531612967,0.5751466668666677,0.4119824340685885,0.38073725551366805,0.6029249511659145,0.44536028131842614
11,0.37423376754877413,0.5655105034721658,0.4033822083568319,0.38490785360336305,0.5754933916032314,0.4170455541461706
12,0.3801772104615861,0.55710197493751,0.3973430252059343,0.3813040591776371,0.5652250237762928,0.4096681125462055
13,0.3809518974195135,0.5575313517784185,0.39963588247353093,0.38286759704351425,0.5893253184854984,0.4282624557614326
14,0.3756002514286244,0.5679285897219435,0.40637588675351854,0.39028580486774445,0.6247446805238723,0.4657791696488857
15,0.37986089114813093,0.5511971773936394,0.3911829911013867,0.3832551956176758,0.5883779667317868,0.4298160932958126
16,0.37127582982499546,0.57440009824139,0.41277839845799386,0.37315704226493834,0.6223480552434921,0.46433814615011215
17,0.36501065689198514,0.5796290043979249,0.4177373749937149,0.3875865310430527,0.5528867907822133,0.39606569744646547
18,0.3686386855675819,0.5746027457904308,0.41618005289359294,0.3977022022008896,0.5489776737987995,0.39131433293223383
19,0.3712576093508842,0.5700541233762781,0.40839860160300073,0.3750202104449272,0.592108728736639,0.4339563809335232
20,0.3650873809101734,0.5677327041296248,0.40706678479909897,0.38474814891815184,0.5643132708966732,0.4080615732818842
