epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.6460416650259366,0.5063235690837266,0.350876730856716,0.5855774161490527,0.5697211230343039,0.42454438893632457
2,0.603188882912359,0.5551361451225896,0.39771682897242167,0.5599991218610243,0.5835686867887323,0.44012338160113856
3,0.5848867534309306,0.5674895927790673,0.40830081669233176,0.5521815026348288,0.5736145035109737,0.42874798517335544
4,0.5735985316256041,0.5841369936543126,0.42545189027504254,0.5514551360498775,0.588761413639242,0.4430487657135183
5,0.5599432901669574,0.5916581647370451,0.43228510727164565,0.5348814495585181,0.5942949503660202,0.4502122070301663
6,0.5563270818161709,0.5931843383017407,0.43633435161844375,0.5344950597394597,0.577922628515146,0.43966421247883275
7,0.5383473253378304,0.6012904137693426,0.44494809707005817,0.5313211679458618,0.591120988807895,0.44801979190246627
8,0.5307762020377702,0.6151866943285029,0.4558411512163378,0.5484102815389633,0.5962871949781071,0.44938282905654475
9,0.5284898383643037,0.6131699281514332,0.45919393247333906,0.5671705292029814,0.5181382859803059,0.3784306992946023
10,0.5067491284621659,0.630988315228493,0.4717855028888231,0.549754722551866,0.5693862892009995,0.4225704761391336
11,0.5007230661889558,0.6376044888009307,0.47842554123170916,0.5109998218037866,0.5980301428247582,0.45794311267408455
12,0.49637887106146866,0.6392499620235095,0.4822601187293247,0.4951303953474218,0.6048589914366321,0.4683605855845311
13,0.486303390194011,0.6485691320511603,0.49088366105351394,0.5255705023353751,0.5957046869126233,0.4491189257665114
14,0.49095209087094954,0.6380544146222453,0.4804638276497523,0.48408437994393433,0.6203968619758432,0.4776416451416232
15,0.48406031535517785,0.6421296561277041,0.484127700649282,0.5062419447031888,0.6173332699320533,0.4721614925021475
16,0.4732593487026871,0.6517964819426177,0.4966718605769578,0.5092009333047,0.5867152037945661,0.4438126581636342
17,0.4665965437889099,0.6569879792069876,0.5026874763350333,0.47744917327707465,0.634541970085014,0.48702076890251855
18,0.45922960068589896,0.6608335840445693,0.5051371884602373,0.48907033421776513,0.6096421121196314,0.46584949252957647
19,0.461265427771435,0.6554453015647909,0.4993887665451214,0.5235950283028863,0.5951328121803023,0.44781694087115204
20,0.43477129519626656,0.6861766390903021,0.5339489005586152,0.5302959748289802,0.5826379683884707,0.4312287684191357
