output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-6339,-412035,-402140,0,0.00000000
1,0,1,-27355,-1778075,-1768180,0,0.00000000
2,0,2,4016,261040,270935,270935,0.25838375
3,0,3,-506,-32890,-22995,0,0.00000000
4,1,0,28360,1843400,1853295,1853295,1.76743984
5,1,1,-18434,-1198210,-1188315,0,0.00000000
6,1,2,-11941,-776165,-766270,0,0.00000000
7,1,3,1793,116545,126440,126440,0.12058258
8,2,0,9641,626665,636560,636560,0.60707092
9,2,1,4959,322335,332230,332230,0.31683922
10,2,2,-31401,-2041065,-2031170,0,0.00000000
11,2,3,-17110,-1112150,-1102255,0,0.00000000
12,3,0,7350,477750,487645,487645,0.46505451
13,3,1,5216,339040,348935,348935,0.33277035
14,3,2,-6065,-394225,-384330,0,0.00000000
15,3,3,-12061,-783965,-774070,0,0.00000000
