model,selected_threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall
Original U-Net,0.25,0.673416,0.507631,0.604325,0.760344,0.591734,0.420186,0.506925,0.710622
Alea-tuned U-Net,0.55,0.705274,0.544729,0.778454,0.644671,0.684442,0.520267,0.720087,0.652159
