output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-16720,-1722160,-1699390,0,0.00000000
1,0,1,-13106,-1349918,-1327148,0,0.00000000
2,0,2,-9745,-1003735,-980965,0,0.00000000
3,0,3,-16740,-1724220,-1701450,0,0.00000000
4,1,0,15928,1640584,1663354,1663354,1.58629799
5,1,1,-5569,-573607,-550837,0,0.00000000
6,1,2,-9269,-954707,-931937,0,0.00000000
7,1,3,-9719,-1001057,-978287,0,0.00000000
8,2,0,27475,2829925,2852695,2852695,2.72054195
9,2,1,-9903,-1020009,-997239,0,0.00000000
10,2,2,-16031,-1651193,-1628423,0,0.00000000
11,2,3,-3126,-321978,-299208,0,0.00000000
12,3,0,7553,777959,800729,800729,0.76363468
13,3,1,13933,1435099,1457869,1457869,1.39033222
14,3,2,5039,519017,541787,541787,0.51668835
15,3,3,-1671,-172113,-149343,0,0.00000000
