output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-27138,-1818246,-1811809,0,0.00000000
1,0,1,-22559,-1511453,-1505016,0,0.00000000
2,0,2,-339,-22713,-16276,0,0.00000000
3,0,3,-19620,-1314540,-1308103,0,0.00000000
4,1,0,16503,1105701,1112138,1112138,1.06061745
5,1,1,-11865,-794955,-788518,0,0.00000000
6,1,2,-11357,-760919,-754482,0,0.00000000
7,1,3,17110,1146370,1152807,1152807,1.09940243
8,2,0,18710,1253570,1260007,1260007,1.20163631
9,2,1,-10364,-694388,-687951,0,0.00000000
10,2,2,-25154,-1685318,-1678881,0,0.00000000
11,2,3,-13536,-906912,-900475,0,0.00000000
12,3,0,6821,457007,463444,463444,0.44197464
13,3,1,-5069,-339623,-333186,0,0.00000000
14,3,2,-6575,-440525,-434088,0,0.00000000
15,3,3,-18384,-1231728,-1225291,0,0.00000000
