output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,-35439,-1098609,-1079211,0,0.00000000
1,0,1,14504,449624,469022,469022,0.44729424
2,0,2,40870,1266970,1286368,1286368,1.22677612
3,0,3,-6762,-209622,-190224,0,0.00000000
4,1,0,-10054,-311674,-292276,0,0.00000000
5,1,1,-14987,-464597,-445199,0,0.00000000
6,1,2,19357,600067,619465,619465,0.59076786
7,1,3,52259,1620029,1639427,1639427,1.56347942
8,2,0,-48451,-1501981,-1482583,0,0.00000000
9,2,1,-24227,-751037,-731639,0,0.00000000
10,2,2,768,23808,43206,43206,0.04120445
11,2,3,18054,559674,579072,579072,0.55224609
12,3,0,-29564,-916484,-897086,0,0.00000000
13,3,1,-42938,-1331078,-1311680,0,0.00000000
14,3,2,-11240,-348440,-329042,0,0.00000000
15,3,3,14534,450554,469952,469952,0.44818115
