threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.406599,0.255177,0.255364,0.997145,,,,,False
0.1,0.639196,0.46972,0.50711,0.864327,,,,,False
0.15,0.660529,0.493126,0.54763,0.832067,,,,,False
0.2,0.666827,0.50018,0.561809,0.820133,,,,,False
0.25,0.668841,0.50245,0.567748,0.813732,,,,,False
0.3,0.670183,0.503967,0.572049,0.80896,,,,,False
0.35,0.671185,0.5051,0.575725,0.804593,,,,,False
0.4,0.671999,0.506023,0.579285,0.800045,,,,,False
0.45,0.672717,0.506837,0.583733,0.793709,,,,,False
0.5,0.708411,0.54848,0.767431,0.657821,0.515203,0.346985,0.422067,0.661081,True
0.55,0.701965,0.540791,0.804316,0.622723,,,,,False
0.6,0.696079,0.533835,0.819942,0.604727,,,,,False
0.65,0.689675,0.526339,0.835409,0.587234,,,,,False
0.7,0.681448,0.516815,0.850459,0.568475,,,,,False
0.75,0.670681,0.50453,0.866699,0.546974,,,,,False
0.8,0.655668,0.487727,0.884875,0.520773,,,,,False
0.85,0.631383,0.46133,0.904896,0.484837,,,,,False
0.9,0.586603,0.41503,0.92785,0.428871,,,,,False
0.95,0.465343,0.303223,0.961958,0.306903,,,,,False
