threshold,val_dice,val_iou,val_precision,val_recall,test_dice,test_iou,test_precision,test_recall,selected
0.05,0.409681,0.257609,0.25766,0.999232,,,,,False
0.1,0.613109,0.442074,0.461929,0.911385,,,,,False
0.15,0.639584,0.470139,0.498576,0.891805,,,,,False
0.2,0.64999,0.481471,0.514628,0.881977,,,,,False
0.25,0.653663,0.485512,0.521902,0.874421,,,,,False
0.3,0.656245,0.488366,0.527168,0.869025,,,,,False
0.35,0.658765,0.491163,0.532159,0.864418,,,,,False
0.4,0.661529,0.494242,0.537696,0.859467,,,,,False
0.45,0.6659,0.499139,0.546872,0.851157,,,,,False
0.5,0.697352,0.535334,0.674744,0.721527,,,,,False
0.55,0.700186,0.538682,0.689846,0.710841,,,,,False
0.6,0.701822,0.540621,0.70143,0.702215,,,,,False
0.65,0.703178,0.542232,0.712862,0.693754,,,,,False
0.7,0.704107,0.543337,0.724893,0.684479,,,,,False
0.75,0.704531,0.543842,0.7387,0.673383,0.782423,0.642607,0.784933,0.779929,True
0.8,0.703494,0.542608,0.754226,0.659157,,,,,False
0.85,0.700537,0.539097,0.773644,0.640054,,,,,False
0.9,0.692732,0.529909,0.800554,0.610507,,,,,False
0.95,0.668547,0.502119,0.843522,0.553693,,,,,False
