output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,12108,593292,590246,590246,0.56290245
1,0,1,8240,403760,400714,400714,0.38215065
2,0,2,3919,192031,188985,188985,0.18023014
3,0,3,-5284,-258916,-261962,0,0.00000000
4,1,0,11716,574084,571038,571038,0.54458427
5,1,1,8428,412972,409926,409926,0.39093590
6,1,2,16864,826336,823290,823290,0.78515053
7,1,3,9410,461090,458044,458044,0.43682480
8,2,0,-932,-45668,-48714,0,0.00000000
9,2,1,2592,127008,123962,123962,0.11821938
10,2,2,21045,1031205,1028159,1028159,0.98052883
11,2,3,21655,1061095,1058049,1058049,1.00903416
12,3,0,-4556,-223244,-226290,0,0.00000000
13,3,1,-2809,-137641,-140687,0,0.00000000
14,3,2,2135,104615,101569,101569,0.09686375
15,3,3,22523,1103627,1100581,1100581,1.04959583
