run_name,category,model_architecture,heldout_fp,loss_function,augmentation,checkpoint_selection,metric_source,threshold,test_dice,test_iou,test_precision,test_recall,val_dice_at_threshold,val_iou_at_threshold
attention_unet_fp3_bce_valdice_20epochs,arch_extension,attention_unet,fp3,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.527662,0.391666,n/a,n/a,,
attention_unet_fp3_bce_valdice_20epochs,arch_extension,attention_unet,fp3,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.35,0.624096,0.45359,0.776784,0.521574,0.668138,
attention_unet_fp4_bce_valdice_20epochs,arch_extension,attention_unet,fp4,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.42289,0.302955,n/a,n/a,,
attention_unet_fp4_bce_valdice_20epochs,arch_extension,attention_unet,fp4,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.5,0.495334,0.329199,0.513691,0.478244,0.694475,
attention_unet_fp5_bce_valdice_20epochs,arch_extension,attention_unet,fp5,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.570279,0.430927,n/a,n/a,,
attention_unet_fp5_bce_valdice_20epochs,arch_extension,attention_unet,fp5,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.5,0.624431,0.453944,0.521971,0.77694,0.6443,
attention_unet_fp6_bce_valdice_20epochs,arch_extension,attention_unet,fp6,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.527923,0.390995,n/a,n/a,,
attention_unet_fp6_bce_valdice_20epochs,arch_extension,attention_unet,fp6,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.5,0.624455,0.453969,0.718076,0.55243,0.690755,
attention_unet_fp7_bce_valdice_20epochs,arch_extension,attention_unet,fp7,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.367282,0.261251,n/a,n/a,,
attention_unet_fp7_bce_valdice_20epochs,arch_extension,attention_unet,fp7,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.4,0.549,0.378359,0.489594,0.624813,0.684579,
unetpp_fp1_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp1,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.428925,0.297172,n/a,n/a,,
unetpp_fp1_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp1,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.35,0.476051,0.31238,0.386535,0.619523,0.671351,
unetpp_fp2_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp2,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.640546,0.508798,n/a,n/a,,
unetpp_fp2_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp2,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.4,0.749208,0.598986,0.75272,0.745728,0.655369,
unetpp_fp3_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp3,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.549452,0.406437,n/a,n/a,,
unetpp_fp3_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp3,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.45,0.608203,0.436991,0.796353,0.491968,0.662995,
unetpp_fp4_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp4,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.383923,0.259434,n/a,n/a,,
unetpp_fp4_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp4,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.55,0.461484,0.299954,0.418768,0.513905,0.654067,
unetpp_fp5_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp5,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.567915,0.429484,n/a,n/a,,
unetpp_fp5_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp5,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.35,0.617366,0.446514,0.497707,0.812773,0.653457,
unetpp_fp6_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp6,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.497307,0.364781,n/a,n/a,,
unetpp_fp6_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp6,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.4,0.633303,0.463382,0.755458,0.545154,0.709431,
unetpp_fp7_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp7,bce (BCEWithLogitsLoss),not_in_name,val_dice,default_0.5_training_script_batch_average,0.5,0.378729,0.2712,n/a,n/a,,
unetpp_fp7_bce_valdice_20epochs,arch_extension,unet_plus_plus,fp7,bce (BCEWithLogitsLoss),not_in_name,val_dice,threshold_sweep_global_pixel,0.4,0.560446,0.389319,0.524542,0.601626,0.687071,
