output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,6925,443200,458663,458663,0.43741512
1,0,1,14276,913664,929127,929127,0.88608456
2,0,2,985,63040,78503,78503,0.07486629
3,0,3,-21544,-1378816,-1363353,0,0.00000000
4,1,0,-2741,-175424,-159961,0,0.00000000
5,1,1,-9647,-617408,-601945,0,0.00000000
6,1,2,-5999,-383936,-368473,0,0.00000000
7,1,3,28956,1853184,1868647,1868647,1.78208065
8,2,0,-14359,-918976,-903513,0,0.00000000
9,2,1,-1372,-87808,-72345,0,0.00000000
10,2,2,10844,694016,709479,709479,0.67661190
11,2,3,-6516,-417024,-401561,0,0.00000000
12,3,0,-9420,-602880,-587417,0,0.00000000
13,3,1,-4352,-278528,-263065,0,0.00000000
14,3,2,-19634,-1256576,-1241113,0,0.00000000
15,3,3,-11221,-718144,-702681,0,0.00000000
