output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,10888,696832,649895,649895,0.61978817
1,0,1,26106,1670784,1623847,1623847,1.54862118
2,0,2,39722,2542208,2495271,2495271,2.37967587
3,0,3,18592,1189888,1142951,1142951,1.09000301
4,1,0,6247,399808,352871,352871,0.33652401
5,1,1,21712,1389568,1342631,1342631,1.28043270
6,1,2,12996,831744,784807,784807,0.74845028
7,1,3,41835,2677440,2630503,2630503,2.50864315
8,2,0,-27384,-1752576,-1799513,0,0.00000000
9,2,1,4246,271744,224807,224807,0.21439266
10,2,2,16718,1069952,1023015,1023015,0.97562313
11,2,3,17488,1119232,1072295,1072295,1.02262020
12,3,0,-21773,-1393472,-1440409,0,0.00000000
13,3,1,-2749,-175936,-222873,0,0.00000000
14,3,2,22554,1443456,1396519,1396519,1.33182430
15,3,3,19027,1217728,1170791,1170791,1.11655331
