output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,9516,799344,802297,802297,0.76513004
1,0,1,-21339,-1792476,-1789523,0,0.00000000
2,0,2,-12942,-1087128,-1084175,0,0.00000000
3,0,3,-7221,-606564,-603611,0,0.00000000
4,1,0,28451,2389884,2392837,2392837,2.28198719
5,1,1,-1012,-85008,-82055,0,0.00000000
6,1,2,-11486,-964824,-961871,0,0.00000000
7,1,3,-25005,-2100420,-2097467,0,0.00000000
8,2,0,28634,2405256,2408209,2408209,2.29664707
9,2,1,9930,834120,837073,837073,0.79829502
10,2,2,-12217,-1026228,-1023275,0,0.00000000
11,2,3,-6502,-546168,-543215,0,0.00000000
12,3,0,20209,1697556,1700509,1700509,1.62173176
13,3,1,11572,972048,975001,975001,0.92983341
14,3,2,6021,505764,508717,508717,0.48515034
15,3,3,-179,-15036,-12083,0,0.00000000
