output_index,row,col,raw_conv_int32,product_fx,biased_fx,relu_fx,relu_float_equiv
0,0,0,20045,962160,982241,982241,0.93673801
1,0,1,-14095,-676560,-656479,0,0.00000000
2,0,2,-44853,-2152944,-2132863,0,0.00000000
3,0,3,-18329,-879792,-859711,0,0.00000000
4,1,0,19830,951840,971921,971921,0.92689610
5,1,1,-2334,-112032,-91951,0,0.00000000
6,1,2,-26164,-1255872,-1235791,0,0.00000000
7,1,3,-27675,-1328400,-1308319,0,0.00000000
8,2,0,20215,970320,990401,990401,0.94452000
9,2,1,19741,947568,967649,967649,0.92282200
10,2,2,-11043,-530064,-509983,0,0.00000000
11,2,3,-21231,-1019088,-999007,0,0.00000000
12,3,0,7751,372048,392129,392129,0.37396336
13,3,1,25240,1211520,1231601,1231601,1.17454624
14,3,2,-3319,-159312,-139231,0,0.00000000
15,3,3,-25022,-1201056,-1180975,0,0.00000000
