epoch,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.6917166674137115,0.45211599975824357,0.3001825074851513,0.35675547271966934,0.6965739643573761,0.6620965210291055,0.5274778690475684,0.37278402453431714,0.5039301491700686,0.5770760915027215
2,0.6391568541526794,0.5356661260128022,0.37208877980709076,0.4755755427479744,0.6439740043878556,0.6451807709840628,0.5160449170149289,0.36164632941094726,0.4266788546855633,0.6788544952869415
3,0.6183220773935318,0.5550546330213547,0.3905089208483696,0.4887268191576004,0.6752458584308624,0.625076908331651,0.5479479678548299,0.3919309455041702,0.5146881800431472,0.6044636202546266
4,0.5942433762550354,0.5827429723739624,0.4151883977651596,0.516086797118187,0.6869441592693328,0.6510535020094651,0.5257398569240019,0.3727186019890584,0.6784018255197085,0.4471474252641201
5,0.5858472484350205,0.5874518972635269,0.42203582525253297,0.5230538421869277,0.6932087409496307,0.6056837577086228,0.5740046547009394,0.4205253410797853,0.5618791465575879,0.6136337366814797
6,0.5755898839235306,0.5950202238559723,0.43149102479219437,0.5358148816227913,0.6966232550144196,0.6071608066558838,0.5715092818539304,0.42154712944578093,0.6287977196849309,0.5340910722286656
7,0.5575990986824035,0.6178424537181855,0.4525717830657959,0.5672573339939118,0.69943674325943,0.5666705026076391,0.6023074705691005,0.45313144146572226,0.658127637150196,0.5650776438952352
8,0.5441739648580551,0.6267209488153458,0.462509742975235,0.579210599064827,0.7141576385498047,0.5821626576093527,0.6019101807704339,0.4481960070820955,0.5972234308719635,0.6160403203505737
9,0.5315680575370788,0.6407371240854264,0.47652798414230346,0.5987316858768463,0.7177893376350403,0.5687230344002063,0.596840266424876,0.44299309672071385,0.6011594585501231,0.6032310558053163
10,0.5278213536739349,0.6416039907932282,0.47994270324707033,0.6109338086843491,0.7055981421470642,0.5626603410794184,0.5932300119445875,0.44143994181202006,0.521760809306915,0.6964082568883896
11,0.5103017234802246,0.6563499861955643,0.4980777597427368,0.6227521324157714,0.7256134390830994,0.5550870574437655,0.6052341128771122,0.45210545080212444,0.5385886270266312,0.7002735092089727
12,0.48354882538318633,0.686151013970375,0.5290503942966461,0.6571282583475113,0.7354336476325989,0.6206978513644292,0.5342340480822784,0.37587199474756533,0.4133100922291095,0.784623595384451
13,0.4755561047792435,0.6951657313108445,0.5362953835725784,0.6786983245611191,0.7291563200950623,0.5419349097288572,0.6176918641879008,0.46256666286633563,0.5742855817079544,0.6776689577561158
14,0.4536072134971619,0.711618789434433,0.5579767256975174,0.6888492029905319,0.7542813265323639,0.607257950764436,0.5201752291849027,0.36581062539838827,0.7906191188555497,0.4028779940249828
15,0.42127770602703096,0.7445602917671204,0.5973674118518829,0.7266042810678482,0.7752248430252076,0.5371703024093921,0.6149648038240579,0.4620524879831534,0.5991887094882818,0.6420683253269929
16,0.43067835927009585,0.7274494940042495,0.5780917048454285,0.7104662019014358,0.7610647165775299,0.6474523727710431,0.5148926973342896,0.357406898186757,0.3914159650986011,0.7756141332479624
17,0.4139594328403473,0.743973867893219,0.5970729064941406,0.7344477766752243,0.7646471571922302,0.5005704026955825,0.6349785236218877,0.4890244167591593,0.7556174764266381,0.6046019356991312
18,0.4086253100633621,0.7381571686267853,0.5931635665893554,0.7179633682966232,0.7852862083911896,0.5404593050479889,0.5983713555794495,0.44123821132458174,0.5586747595897088,0.6550719577532548
19,0.3763584032654762,0.7705465495586395,0.6325025528669357,0.7582063537836075,0.7958759558200836,0.5402847069960374,0.5930675268173218,0.4363419872063857,0.5457567377732351,0.6603696999641565
20,0.36200870215892794,0.7849344968795776,0.6503472292423248,0.7734023118019104,0.8072721695899964,0.5505624665663793,0.5839464710308955,0.42527281349668133,0.5715661879915458,0.6087155777674454
